Gene ID,Intron Length,Exon Length
Cre09.g389652,2913,2096
Cre02.g090276,3757,2884
Cre08.g373200,25600,7934
Cre01.g033500,923,2505
Cre13.g585450,1749,4462
Cre05.g236300,10604,5464
Cre03.g209953,32249,11393
Cre16.g682900,13218,3309
Cre16.g671685,1150,2041
Cre17.g739752,11454,3164
Cre12.g497350,5929,5980
Cre02.g105350,4215,2935
Cre05.g233303,71701,12085
Cre01.g030850,1515,1873
Cre03.g175000,2138,1862
Cre03.g175550,1077,6044
Cre12.g545100,417,3024
Cre12.g545101,9889,5362
Cre08.g370250,24427,6499
Cre06.g311700,2417,1431
Cre12.g486209,33401,10460
Cre12.g486208,3914,2274
Cre03.g188026,0,0
Cre12.g486207,1106,1559
Cre06.g279300,1490,2012
Cre13.g605250,2112,9409
Cre04.g224600,5794,4409
Cre10.g461200,3395,2834
Cre01.g026750,11258,6409
Cre16.g690350,5755,2692
Cre05.g234659,172,1797
Cre01.g036100,689,7286
Cre16.g654000,0,0
Cre07.g313100,941,4666
Cre02.g084500,0,0
Cre03.g152150,688,2561
Cre05.g234657,312,2574
Cre05.g234656,3919,5830
Cre11.g476850,3974,2247
Cre05.g234650,1547,1092
Cre13.g592200,17968,7678
Cre05.g234652,4065,2547
Cre04.g215350,4767,3580
Cre03.g200050,2889,1395
Cre02.g141706,19295,5009
Cre14.g630950,958,2083
Cre17.g710550,0,0
Cre01.g022666,214,907
Cre06.g302000,13490,5675
Cre02.g141250,715,2466
Cre11.g478982,0,0
Cre12.g519401,10163,4902
Cre09.g401850,701,7372
Cre06.g309650,80863,24484
Cre06.g298300,10934,5642
Cre01.g055316,6743,3950
Cre11.g477450,42776,20297
Cre03.g181300,5998,2259
Cre12.g511650,1590,3154
Cre17.g714050,0,0
Cre10.g456800,3276,5411
Cre12.g548500,11680,4306
Cre17.g727550,7342,6818
Cre12.g498950,1652,1156
Cre10.g442150,824,2417
Cre15.g636800,2441,1790
Cre12.g485150,3839,1929
Cre02.g147700,6460,2942
Cre03.g165471,419,962
Cre05.g243151,519,1548
Cre04.g222200,2195,1657
Cre02.g096601,1555,1454
Cre08.g362100,8672,9300
Cre06.g253150,1441,1370
Cre08.g359100,5458,2423
Cre10.g426700,6835,2442
Cre21.g752297,655,2353
Cre16.g685901,9585,3946
Cre16.g685900,6702,2568
Cre03.g178200,4005,1504
Cre16.g694450,5672,4441
Cre10.g454400,2633,3840
Cre01.g018750,4758,6265
Cre09.g395695,12300,7022
Cre16.g666700,305,1076
Cre04.g223150,340,4371
Cre04.g224750,1672,1430
Cre01.g010100,489,2908
Cre03.g174200,957,3036
Cre09.g415600,13713,6132
Cre13.g570000,787,2038
Cre12.g537900,2436,1755
Cre02.g111550,4442,8247
Cre06.g252576,0,0
Cre13.g580650,6627,2680
Cre03.g163550,3243,1307
Cre06.g278300,3274,1715
Cre06.g278301,0,0
Cre06.g278302,19112,8130
Cre17.g701751,135,2916
Cre16.g691000,2339,1442
Cre03.g177950,2877,8581
Cre16.g664850,8952,4330
Cre10.g460150,17538,6627
Cre01.g032750,1691,1115
Cre01.g037500,550,731
Cre12.g494650,1450,5061
Cre06.g264450,6912,2274
Cre02.g098650,6488,2392
Cre02.g104550,5713,2015
Cre13.g572950,6775,5502
Cre14.g627726,1159,789
Cre09.g392319,1757,4389
Cre13.g603550,3322,2140
Cre13.g603000,5244,6346
Cre09.g395473,2782,3249
Cre16.g652650,6204,2718
Cre01.g009900,5290,2961
Cre06.g266276,2867,2084
Cre06.g262200,809,1542
Cre03.g143687,0,0
Cre07.g327700,2350,3871
Cre01.g000033,1151,2450
Cre01.g053250,23010,7411
Cre16.g695850,6465,3064
Cre16.g695851,500,1651
Cre02.g086200,2573,2114
Cre11.g476325,9705,4908
Cre01.g035900,534,4947
Cre03.g197250,1039,4402
Cre01.g024900,756,4345
Cre03.g197700,3118,6253
Cre12.g549900,12479,5970
Cre19.g750297,318,2294
Cre12.g550900,8226,6055
Cre16.g663551,0,0
Cre14.g621300,7409,3802
Cre12.g488250,1276,2385
Cre16.g689423,2058,1153
Cre02.g095900,10696,5417
Cre06.g270250,1715,2313
Cre12.g484200,1949,1768
Cre16.g677653,186,2735
Cre01.g027900,1372,708
Cre06.g248800,1296,715
Cre07.g336000,1027,1216
Cre16.g655600,2794,3007
Cre12.g529250,9545,3745
Cre14.g631150,16370,11416
Cre12.g552500,933,1307
Cre08.g368550,1541,2134
Cre12.g552050,9637,4545
Cre17.g722650,1656,1312
Cre10.g455750,9368,9123
Cre12.g500050,947,886
Cre06.g294350,18815,8332
Cre15.g634827,0,0
Cre12.g521000,1891,1354
Cre11.g468850,2685,1752
Cre10.g458150,4453,3199
Cre09.g414850,11051,4867
Cre06.g299550,1074,1367
Cre02.g095650,3220,2740
Cre09.g395000,3202,2239
Cre04.g225800,14740,7885
Cre13.g579100,32496,12494
Cre13.g586550,1425,942
Cre16.g692585,6086,3200
Cre17.g711650,5077,2086
Cre12.g528250,13341,5814
Cre12.g503250,1060,2241
Cre16.g664700,3177,1619
Cre16.g653000,2055,3316
Cre17.g708100,4691,2678
Cre09.g405000,1840,4025
Cre17.g728650,5659,2556
Cre07.g350200,4444,2013
Cre16.g687550,3182,2019
Cre16.g660024,1182,2089
Cre09.g391097,8189,1470
Cre09.g402738,1002,3431
Cre09.g406400,16416,5506
Cre01.g013900,18809,6968
Cre17.g707100,3682,6023
Cre12.g508200,5228,1934
Cre01.g009850,987,4774
Cre01.g050750,2101,3364
Cre10.g441950,1994,915
Cre09.g396549,2547,2313
Cre02.g074250,1419,5724
Cre09.g394251,1178,2911
Cre06.g263000,8239,3348
Cre01.g038050,3771,9500
Cre01.g038500,5606,2962
Cre06.g272500,992,1759
Cre07.g350750,6545,2464
Cre02.g087551,15223,7219
Cre16.g680350,830,2081
Cre09.g400367,2715,1805
Cre13.g567426,0,0
Cre10.g463150,5517,2590
Cre09.g388350,2444,2897
Cre09.g388351,380,2283
Cre12.g506550,1487,5524
Cre02.g107850,1398,2693
Cre13.g606000,7758,2696
Cre17.g696450,9731,4939
Cre01.g053288,14952,3630
Cre02.g117750,420,971
Cre01.g039900,3876,3305
Cre02.g145700,6429,2389
Cre16.g691500,4166,2200
Cre13.g564450,346,2405
Cre07.g316550,802,5189
Cre01.g066552,3497,2306
Cre04.g217100,1357,4288
Cre04.g231026,3704,2297
Cre12.g542900,3152,8613
Cre09.g398350,10945,3558
Cre17.g744297,5027,2370
Cre17.g704901,1429,1226
Cre06.g310200,201,2435
Cre03.g172200,1808,2375
Cre13.g576400,1392,1595
Cre03.g187050,1459,2552
Cre09.g391208,309,1408
Cre09.g388097,7989,2655
Cre06.g290450,3428,4693
Cre06.g284726,266,970
Cre06.g289100,3101,2876
Cre09.g391753,281,6145
Cre12.g543500,1699,1802
Cre10.g459200,8244,4558
Cre05.g240533,796,2884
Cre01.g012050,1686,2895
Cre12.g545950,9905,3911
Cre05.g240750,6049,3416
Cre01.g020100,18800,10293
Cre02.g142286,8055,3912
Cre02.g095151,2792,5474
Cre06.g289950,16044,4583
Cre12.g551977,5132,3200
Cre03.g151950,259,695
Cre03.g206350,713,4958
Cre03.g151400,13885,8176
Cre09.g400590,5888,2877
Cre04.g216950,3915,1960
Cre15.g641600,4920,1417
Cre12.g517925,800,3581
Cre16.g681657,2351,4250
Cre16.g649200,1902,1496
Cre14.g624476,77,724
Cre08.g379050,1145,3066
Cre02.g077750,2035,4466
Cre01.g014900,6739,3682
Cre16.g667550,839,2545
Cre03.g191700,1440,4531
Cre01.g022850,303,7033
Cre07.g326500,5760,2045
Cre10.g440600,927,2745
Cre09.g396028,8487,3396
Cre01.g051800,6071,2366
Cre02.g091400,11843,4616
Cre17.g737000,2090,1290
Cre08.g365900,2587,1547
Cre03.g159016,53054,13715
Cre06.g278131,2352,5639
Cre02.g084200,2295,1343
Cre13.g579582,5775,1429
Cre02.g080250,1798,1596
Cre10.g434350,6429,3671
Cre03.g145127,4086,14052
Cre12.g507200,2322,4209
Cre09.g400775,1105,671
Cre10.g443801,5578,2069
Cre15.g639504,14379,5574
Cre02.g085150,16338,12947
Cre15.g639500,2633,2417
Cre15.g639503,10505,9536
Cre12.g507800,1250,1981
Cre10.g435400,3786,2385
Cre15.g639056,3727,5789
Cre17.g726750,4492,2632
Cre02.g094551,1784,7177
Cre09.g398200,26766,7137
Cre06.g298500,3265,4756
Cre15.g637900,1260,2988
Cre02.g119651,8243,3289
Cre05.g232300,17755,5689
Cre01.g017100,3868,3573
Cre05.g232304,2721,1635
Cre01.g002100,0,0
Cre15.g638450,258,3230
Cre02.g114650,3918,1760
Cre12.g508852,1240,1849
Cre12.g551350,13147,5115
Cre13.g577750,421,1220
Cre12.g551352,1831,1140
Cre12.g551353,1529,1636
Cre09.g399450,10140,4293
Cre02.g114750,3879,4242
Cre13.g565321,5184,1492
Cre03.g208945,1355,1195
Cre13.g581350,732,3019
Cre01.g038900,1431,1582
Cre12.g540850,2609,3642
Cre03.g184100,2248,1400
Cre04.g227400,4374,4162
Cre09.g390150,6753,6566
Cre06.g290250,17978,9085
Cre01.g023450,3757,3697
Cre07.g351600,2036,2365
Cre01.g023100,1297,1224
Cre12.g541100,1386,2469
Cre06.g278158,1208,2458
Cre02.g143150,588,7553
Cre06.g268800,9708,5643
Cre12.g548450,2903,2868
Cre06.g278151,1784,1907
Cre03.g204500,1208,4493
Cre06.g278153,1788,3773
Cre11.g467547,2297,2958
Cre06.g278154,6940,2797
Cre06.g276900,0,0
Cre06.g278156,1164,4757
Cre17.g729350,5075,7786
Cre04.g217972,0,0
Cre15.g642000,2350,1291
Cre03.g157800,3693,1957
Cre06.g293950,1660,2463
Cre04.g223800,8994,3219
Cre07.g315650,1721,1600
Cre01.g032100,2391,1811
Cre09.g404450,6769,3974
Cre17.g740187,1540,1037
Cre07.g343433,2406,1365
Cre06.g269601,849,618
Cre02.g076800,4894,1791
Cre17.g721400,1392,5173
Cre06.g297049,0,0
Cre12.g519651,1804,2017
Cre16.g695500,19567,5674
Cre09.g396809,2005,1655
Cre06.g269150,4777,3480
Cre12.g512600,3824,1190
Cre17.g734200,5741,1766
Cre02.g099350,11603,5373
Cre02.g088700,3956,2177
Cre10.g464450,9348,3692
Cre14.g626300,2641,1874
Cre17.g730250,1998,1088
Cre02.g145200,2404,2920
Cre12.g558400,3302,1974
Cre16.g663315,281,2047
Cre03.g155400,2396,1625
Cre08.g372050,212,2810
Cre12.g555500,4511,2432
Cre12.g550750,2305,1178
Cre11.g469450,2968,1803
Cre12.g555050,15426,6850
Cre06.g267500,2191,1219
Cre07.g342900,1646,2735
Cre13.g565550,1431,1260
Cre12.g560900,5294,2120
Cre12.g560902,1881,1720
Cre14.g616050,9792,4944
Cre09.g399300,2082,1443
Cre12.g531600,246,2148
Cre12.g523250,2955,2583
Cre03.g205361,1187,1395
Cre12.g536650,625,3896
Cre12.g554450,16150,7004
Cre08.g366101,15484,7177
Cre09.g406500,17486,15967
Cre01.g018100,3630,2284
Cre01.g001100,5918,2964
Cre10.g439450,350,2099
Cre01.g044000,1499,754
Cre12.g505950,2798,1985
Cre16.g663250,18724,8189
Cre13.g588650,1402,3492
Cre16.g663700,1458,3063
Cre09.g405850,3032,2088
Cre06.g292550,3576,2210
Cre07.g355466,4620,10161
Cre14.g611700,3234,4789
Cre07.g325050,4615,3048
Cre01.g011350,1993,1382
Cre02.g104750,5555,3560
Cre09.g387750,3226,7820
Cre05.g237910,3910,3260
Cre13.g571560,1922,4467
Cre12.g546452,2019,2291
Cre12.g546450,6382,2858
Cre07.g353600,17545,7267
Cre17.g710254,2385,2319
Cre10.g419443,1909,1090
Cre14.g622550,5171,2621
Cre15.g643354,2884,2512
Cre08.g385700,3408,2383
Cre13.g570650,6741,3891
Cre03.g202113,2482,1984
Cre17.g728400,63878,14087
Cre08.g358500,635,1583
Cre02.g097000,6656,2235
Cre07.g322550,2343,2087
Cre13.g588386,2209,1985
Cre16.g650900,3806,11805
Cre34.g759147,0,0
Cre01.g009731,9447,4983
Cre03.g171050,3217,2594
Cre07.g352800,7356,5415
Cre01.g006900,71628,16176
Cre13.g566600,920,11541
Cre10.g464133,6592,3491
Cre07.g327950,14782,7883
Cre13.g566350,17904,8105
Cre07.g337350,3006,2687
Cre11.g467535,1361,2386
Cre11.g467534,1245,1063
Cre11.g467537,1216,5155
Cre11.g467536,889,8589
Cre11.g467531,4781,2029
Cre11.g467530,9327,4241
Cre13.g565800,2906,1587
Cre11.g467532,7767,5988
Cre06.g269865,32526,8944
Cre03.g170750,2061,1113
Cre12.g546633,800,3477
Cre11.g467538,828,4081
Cre09.g396661,18886,11346
Cre03.g154200,2965,2063
Cre03.g175800,3286,2054
Cre16.g656500,20604,9249
Cre10.g463300,8961,3960
Cre13.g584400,7954,3505
Cre03.g159150,11346,4815
Cre13.g606250,10116,4446
Cre01.g004050,1235,1346
Cre03.g145967,5977,1832
Cre17.g710700,9443,8140
Cre02.g142700,6806,5013
Cre12.g561500,3523,1708
Cre23.g754947,4498,3157
Cre02.g142707,0,0
Cre07.g328900,2501,2570
Cre09.g398850,6864,2564
Cre12.g530550,2213,2438
Cre23.g754597,2384,930
Cre03.g202650,298,1568
Cre06.g278249,5541,2049
Cre03.g186150,2821,1609
Cre10.g464350,15607,4621
Cre07.g333675,1275,1085
Cre12.g557900,2579,1268
Cre03.g143747,22997,10623
Cre09.g393200,10766,3158
Cre12.g524200,1266,1302
Cre07.g333850,13909,5728
Cre10.g436600,4609,2645
Cre06.g307450,3224,3387
Cre11.g467751,6103,4232
Cre11.g467750,6391,2694
Cre11.g467753,3542,1075
Cre11.g467752,1553,1478
Cre11.g467755,2382,1771
Cre12.g525550,3644,1407
Cre11.g467757,37398,14296
Cre11.g467756,5760,3290
Cre11.g467759,1997,1893
Cre11.g467758,7101,2930
Cre08.g370401,470,1091
Cre01.g042150,4021,2623
Cre02.g108550,8689,2829
Cre16.g670754,14869,5305
Cre16.g661250,1078,3273
Cre06.g285926,0,0
Cre10.g448150,4173,2279
Cre04.g221800,1427,6718
Cre16.g678350,1830,2447
Cre06.g300900,6991,2286
Cre08.g365750,4442,3443
Cre04.g225950,1496,4393
Cre08.g378150,5006,3032
Cre06.g310576,84,1318
Cre17.g714550,0,0
Cre16.g687150,620,3701
Cre10.g430600,186,1105
Cre03.g173750,5988,3582
Cre14.g613700,7334,5557
Cre09.g407750,528,1011
Cre08.g359900,2770,8510
Cre02.g074400,2832,2132
Cre07.g353150,148,2263
Cre16.g693900,6457,5563
Cre06.g256100,1731,2300
Cre01.g005900,6523,2113
Cre11.g483150,9588,2973
Cre16.g684715,6589,12257
Cre06.g310850,3137,2139
Cre02.g091650,1691,2590
Cre03.g167101,2835,2601
Cre09.g388726,16089,7596
Cre17.g703126,173,1515
Cre01.g010900,4335,2642
Cre02.g078950,2267,4365
Cre09.g400900,9268,6028
Cre09.g398956,10737,6121
Cre13.g570801,0,0
Cre16.g657100,6778,6276
Cre01.g031004,8096,5072
Cre16.g681126,4013,1926
Cre03.g158200,5948,2676
Cre16.g674291,5598,4304
Cre02.g116000,2559,941
Cre04.g222450,0,0
Cre17.g736584,8052,5256
Cre16.g661976,1341,1208
Cre06.g280475,10565,4820
Cre02.g144605,0,0
Cre12.g486400,6316,2382
Cre12.g493650,3159,2495
Cre12.g551500,2356,1611
Cre12.g551503,2402,3069
Cre12.g551502,285,1359
Cre03.g180000,1338,2298
Cre10.g467100,5400,2642
Cre13.g562475,3853,1342
Cre10.g428720,0,0
Cre02.g145133,134,4177
Cre12.g502150,14245,6878
Cre02.g142526,0,0
Cre11.g480350,3756,3815
Cre02.g110950,5754,2264
Cre14.g631451,714,4297
Cre03.g206452,1374,1011
Cre10.g420250,4512,989
Cre01.g024100,2917,1360
Cre13.g591400,6147,4064
Cre16.g679400,6333,7044
Cre08.g375250,0,0
