Ensembl ID,Entrez ID,Control Gene Expression,Cancer Gene Expression,Average Intron Length,Average Exon Length
ENSG00000116721,65121,0,0.277777778,6144,2160
ENSG00000120952,65122,0.034482759,1.361111111,6364,1642
ENSG00000182330,391002,0,0,1138,1839.5
ENSG00000270601,343068,0,0,4922.333333,1814.666667
ENSG00000204505,343070,0,0.055555556,5153,1863
ENSG00000204478,645425,0,0,9290.5,1597
ENSG00000204479,391004,0,0,2840,1557
ENSG00000162493,10630,2418.655172,937.75,10207.5,2688
ENSG00000116731,7799,2301.344828,2189.444444,27928.28571,4518.142857
ENSG00000189337,23254,985.0344828,596.1388889,68263.71429,4141
ENSG00000171729,55092,1587.206897,1930.083333,26138.4,1947.4
ENSG00000142621,114827,200.137931,451.2777778,16342.85714,2702.285714
ENSG00000142634,79180,6048.586207,5715.388889,36060,2419
ENSG00000162438,11330,12.51724138,13.33333333,7390,826
ENSG00000142615,63036,0.586206897,1.444444444,28888,920
ENSG00000215704,51032,2,1.194444444,28754,923
ENSG00000116138,23341,766.862069,993,16837.75,4277
ENSG00000197312,84301,1674.931034,2555.388889,14614.33333,2138
ENSG00000215695,6248,0,0,0,1854
ENSG00000116786,23207,2365.310345,2196.888889,92632,4122
ENSG00000162461,284723,104,71.75,4012,3070
ENSG00000162460,388595,0.344827586,1.027777778,8082,1265
ENSG00000162458,54751,2406.965517,2492.138889,9057,2787.4
ENSG00000065526,23013,2709.413793,2946.305556,67403,12063.5
ENSG00000183888,149563,1.206896552,1.055555556,3066,921
ENSG00000186510,1187,9.344827586,14.63888889,2466.5,2089.333333
ENSG00000184908,1188,6.724137931,13.63888889,10111.66667,1834.333333
ENSG00000055070,26099,3558.689655,3380.416667,10990.8,3246
ENSG00000157191,55707,1537.034483,1728,5071.25,1859
ENSG00000058453,9696,1337.689655,1543.555556,40329.4,3899.8
ENSG00000142623,29943,597.862069,741.5833333,8252,2692.4
ENSG00000142619,51702,4480,4966.111111,63894,3188
ENSG00000159339,23569,61.86206897,17.13888889,46106,1908
ENSG00000074964,55160,2107.37931,2392.333333,5605.454545,3506.272727
ENSG00000117148,81569,2.551724138,12.63888889,139780,1861
ENSG00000117154,84966,83.65517241,25.58333333,142013,1914.5
ENSG00000179023,127707,436.9310345,848.1944444,0,5057
ENSG00000009709,5081,2.413793103,27.33333333,71560.33333,3522.333333
ENSG00000053372,51154,1048.137931,1785.527778,12550,2273
ENSG00000040487,54896,344.5862069,446.25,6526.8,2022.8
ENSG00000173436,440574,316.7241379,326.6666667,11594.8,3817.4
ENSG00000158747,4681,1103.310345,536.4444444,2757.375,2084.375
ENSG00000158748,3362,1.827586207,1.138888889,24584,1984
ENSG00000169914,23252,448.8275862,739,48072,6514
ENSG00000127472,5322,118.8965517,14.94444444,40470.5,2238
ENSG00000158786,64600,927.7586207,2599.111111,16676,2719
ENSG00000162543,127733,262.4137931,371.8333333,8786,2972
ENSG00000158816,127731,113.5172414,181.7222222,12811.6,3635.4
ENSG00000183114,163933,25.37931034,28.13888889,0,2582
ENSG00000158825,978,83.10344828,66.91666667,19388.66667,942.6666667
ENSG00000158828,65018,2093.896552,1905.527778,9871,2159.5
ENSG00000142794,84224,356.862069,383.2777778,20551,3884.75
ENSG00000162551,249,664.9310345,189.6111111,18198.6,2498
ENSG00000187942,401944,51.75862069,22.13888889,4528.5,2499.5
ENSG00000219073,23436,0.137931034,0.138888889,19911,1166
ENSG00000142789,10136,0,0,19960,907
ENSG00000070831,998,10140.34483,11332.11111,10213.57143,1919.285714
ENSG00000184677,9923,1143.172414,1236.666667,19678.5,7056
ENSG00000070886,2046,0.655172414,6.277777778,29672,3424.5
ENSG00000173372,712,3985.62069,1807.666667,3920,1098
ENSG00000159189,714,4012.103448,1967.222222,3306.5,1179.5
ENSG00000173369,713,4129.241379,2204.194444,14608,1044
ENSG00000133216,2048,375.1034483,455.4166667,99895.5,4599.25
ENSG00000004487,23028,2314.413793,4594.972222,61173,3071
ENSG00000197880,259283,13.72413793,7.777777778,34749.5,1702
ENSG00000142676,6135,28557.65517,30849.83333,4014.5,632.5
ENSG00000011007,6924,1601.965517,2173.5,27502,4943
ENSG00000057757,57095,1031.448276,1392.305556,8247,1600
ENSG00000011009,11313,1683.344828,2437.027778,5520,1624
ENSG00000189266,55629,3863.62069,4342.222222,2470,2414
ENSG00000158055,57822,1299.862069,2713.5,12578.8,2621.2
ENSG00000001461,57185,1120.724138,1157.305556,11188.5,3878.75
ENSG00000117602,11123,377.0344828,540.8055556,5255.4,2536.1
ENSG00000184454,400746,93.27586207,58.41666667,98524,3990
ENSG00000133226,10250,4454.655172,4940.861111,8564.6,2859.2
ENSG00000169504,25932,7659.931034,3077.611111,94652,3476.5
ENSG00000187010,6007,0.931034483,1.194444444,9820.666667,2599.111111
ENSG00000183726,23585,2956.62069,3522.861111,10904.25,2146
ENSG00000204178,55219,1047.758621,1241.722222,23251.75,2873.75
ENSG00000157978,26119,828.862069,774.0277778,8631.666667,2653.666667
ENSG00000117643,57134,1229.862069,1156.611111,164036.5,3263.5
ENSG00000162430,57190,2965.37931,2899.055556,13766,4281
ENSG00000117640,56181,1269.241379,1077.861111,1975.5,2107.25
ENSG00000158008,2134,18.13793103,6.722222222,21340,4014
ENSG00000175087,149420,415.5862069,633.0833333,6577.666667,4255.666667
ENSG00000197245,79927,259.2413793,45.72222222,4170,1524
ENSG00000142684,51042,481.6551724,787.4444444,656,649
ENSG00000142675,10256,785.7586207,1516.777778,3241.6,2301.4
ENSG00000188782,378807,1.689655172,3.861111111,6707,1391.666667
ENSG00000130695,64793,323.4482759,689.4166667,11952.25,3508.25
ENSG00000142669,83442,4653.344828,5504.555556,1372,1115
ENSG00000169442,1043,1348.068966,406.3055556,1277.5,664.5
ENSG00000131914,79727,0.034482759,0.111111111,15191,3755.5
ENSG00000117682,79947,860.6206897,988.1944444,14299,3286.4
ENSG00000198830,3151,5182.827586,6810.638889,4526,1969
ENSG00000117676,6195,1234.275862,1465.472222,13612,2911.6
ENSG00000117713,8289,3268.275862,4021.111111,11102,5597.142857
ENSG00000060642,55650,387.0689655,457.0277778,5514.666667,2281
ENSG00000204160,84243,1246.448276,1216.888889,21963.5,1836.5
ENSG00000175793,2810,3508.413793,10783.61111,0,1315
ENSG00000090273,10726,2486.586207,3264.361111,46674,1813
ENSG00000253368,388610,1080.37931,1032.888889,10468,1949
ENSG00000142784,23038,1956.689655,1625,37793.66667,4280.666667
ENSG00000186501,84065,860.4482759,978.9722222,6260.75,1734.5
ENSG00000142765,84958,3352.172414,4304.583333,4210,2442.75
ENSG00000181773,2827,44.5862069,29.30555556,2112,2114
ENSG00000009780,199870,569.2068966,551.3333333,11087.83333,2941.833333
ENSG00000117758,23673,2352.862069,1697.527778,96382,3079
ENSG00000117751,5511,1064.931034,1314.055556,5665.6,2126.4
ENSG00000130775,9473,1468.448276,583.8888889,4859.6,2013.6
ENSG00000130768,27293,103.7931034,272.0277778,10581.25,1785
ENSG00000158156,55113,221.2758621,222.1944444,11886,2158
ENSG00000130770,93974,1980.137931,3106.416667,496,1027.666667
ENSG00000130766,83667,515.5172414,657.9444444,39024,3528
ENSG00000130772,54797,307.2758621,406.0277778,3409.666667,1651.666667
ENSG00000204138,65979,1619.344828,1753.972222,30421.8,4727.6
ENSG00000180198,1104,953.9655172,1808,8136.666667,2698.5
ENSG00000180098,54952,728.0689655,852.9444444,23588,1941
ENSG00000188060,115273,68.4137931,89.02777778,1121.5,1108
ENSG00000162419,10691,663.5172414,686.75,29475.66667,2673
ENSG00000198492,51441,2427.172414,3246.527778,14977.75,3041.25
ENSG00000116329,4985,0.172413793,1.277777778,99562,1774
ENSG00000159023,2035,2040.689655,2552.777778,21603.41667,4752.5
ENSG00000060656,10076,2010.551724,2422.916667,17805.8,4930.4
ENSG00000121766,51538,860.862069,1030.777778,22109.5,1582.5
ENSG00000168528,347735,4827.034483,9665.472222,6962.166667,2029.666667
ENSG00000142910,64129,6213.586207,13344.33333,2200,1804.6
ENSG00000121764,3061,3.034482759,5,4943.5,1693
ENSG00000121774,10657,4839.551724,5554,24031.33333,2717
ENSG00000121775,55116,449.5172414,473.7777778,10963.4,1662.4
ENSG00000025800,23633,2293,2221.25,21854,7383.75
ENSG00000084652,200081,2145.551724,2117.388889,13477.5,4904
ENSG00000160050,79140,137.4827586,201.4166667,3626.5,867
ENSG00000160051,55721,77.75862069,171.1944444,596.3333333,2203.333333
ENSG00000222046,149069,2.344827586,2.472222222,11508,1349
ENSG00000084623,8668,3374.551724,4294.555556,7939.5,1694.5
ENSG00000183615,84734,179.1724138,127.2222222,1376,956
ENSG00000182866,3932,753.9310345,277.6666667,8529.2,1985.8
ENSG00000116478,3065,4477.862069,4717.333333,7323.8,1684.4
ENSG00000162526,81629,16.89655172,19.86111111,1496,1315
ENSG00000160062,653121,22.31034483,19.33333333,63909,5921.666667
ENSG00000162521,5928,4312.068966,4879.666667,13533,7837.25
ENSG00000162522,57648,5978.448276,6448.722222,8583.5,4654.5
ENSG00000116497,64766,1137.310345,911.8611111,16444.25,4110
ENSG00000121905,3208,19.06896552,20.25,13488,1406
ENSG00000142920,113451,131.7241379,150.3333333,6690,2280.545455
ENSG00000160094,149076,676.1034483,516.8055556,82082,3106
ENSG00000121903,7579,93.72413793,105.6666667,13030.33333,3586.666667
ENSG00000176256,127540,0.034482759,0,1029.5,1485.5
ENSG00000142698,84970,0.586206897,0.194444444,44644,2499.5
ENSG00000189280,2709,238.137931,461.9444444,4222,1355
ENSG00000189433,127534,267.5517241,619.6111111,2288,2840
ENSG00000188910,2707,483.8275862,720.9444444,2627,1990.5
ENSG00000187513,2701,472.5862069,164.9444444,1260,1704
ENSG00000197056,79830,296.7586207,442.2777778,7143.142857,3722.714286
ENSG00000146463,9202,1461.551724,1817.527778,50498.25,6825
ENSG00000020129,23154,750.3448276,729.0833333,3726,3501
ENSG00000116819,339488,44.55172414,63.72222222,39540,2187
ENSG00000134698,192670,1330.206897,1587.027778,85206,7060
ENSG00000092847,26523,1313.310345,1463.055556,23397.33333,6984.666667
ENSG00000126070,192669,446.3103448,380.5555556,57653.33333,2919.333333
ENSG00000092850,27285,20.51724138,49.08333333,2446,1620.5
ENSG00000116863,54936,611.862069,865.3888889,6780,1691
ENSG00000116871,55700,3785.172414,3312.638889,4576.4,2841.8
ENSG00000054118,9967,5088.758621,5320.166667,41844,3663.333333
ENSG00000214193,79729,276.7241379,588.1666667,3223.25,2541.5
ENSG00000163874,80149,2651.62069,1730.083333,4456.5,2586.5
ENSG00000163879,7802,267.9655172,223.7777778,7375,2564
ENSG00000134690,55143,130.2758621,502.9444444,8992,1847.666667
ENSG00000185090,149175,171.1724138,463.8888889,2881.333333,2612.666667
ENSG00000197982,127687,978.6551724,1285.25,402.5,1251.5
ENSG00000183520,51118,1005.689655,1204.138889,6753,1985.666667
ENSG00000174574,79647,2402.551724,2374.527778,8111,2634
ENSG00000168653,4725,2717.517241,4555.722222,7773,569
ENSG00000127603,23499,6291.896552,4851.055556,2811,7335.769231
ENSG00000183682,353500,11.93103448,20.80555556,65196,5626
ENSG00000084072,10450,1089.517241,1489.833333,3283.428571,4003.285714
ENSG00000168389,84879,965.2758621,1150.888889,4996.8,1964.6
ENSG00000131236,10487,8896.586207,9949.055556,8105.166667,2346.166667
ENSG00000117000,6018,877.6896552,1081.777778,38718,6117.5
ENSG00000188800,127391,1.551724138,1.333333333,6104,741
ENSG00000084073,10269,1665.103448,1878.805556,65940,3165
ENSG00000084070,64744,2803.827586,1224.027778,8086,2330.166667
ENSG00000187801,65243,43,86.08333333,7540.333333,2145.333333
ENSG00000187815,339559,140.8965517,203.3055556,11035.66667,2259
ENSG00000164002,64789,215.3103448,282.3611111,3434.333333,2537
ENSG00000117010,127396,105.9310345,128.5833333,29024,2097
ENSG00000066136,4802,1213.965517,1328.194444,11654.44444,2088
ENSG00000207962,407031,1.103448276,0.944444444,0,89
ENSG00000117013,9132,135.2758621,37.38888889,52423,4018
ENSG00000171793,1503,958.862069,1402.611111,10349.4,2443.8
ENSG00000044012,2981,0.344827586,0.333333333,3614,597
ENSG00000177181,284716,17.17241379,54.52777778,65728,10569
ENSG00000127125,79717,1507.758621,1830.583333,2647.5,1266.5
ENSG00000186409,728621,142.4827586,179.2777778,47870.8,3746.6
ENSG00000171960,10465,515.2413793,761.5277778,5330,1104
ENSG00000065978,4904,14041.27586,17606.05556,36818,1546
ENSG00000164008,79078,224.862069,292.5555556,14966,1015
ENSG00000164010,114625,553.3793103,553.3055556,6416,3125.6
ENSG00000164011,51058,187.6206897,275.4166667,1457,1808.75
ENSG00000186973,440585,70.27586207,175.8611111,15914,517
ENSG00000243710,149465,20.89655172,24.75,28366.75,3105.5
ENSG00000179178,128218,188.137931,318.9444444,2175.5,1833.5
ENSG00000066056,7075,1125.482759,385.0277778,625.7,2448.4
ENSG00000117400,4352,6.482758621,3.583333333,7661,3019
ENSG00000117399,991,239,1106.027778,2494,1677.5
ENSG00000198198,23334,1777.413793,1958.722222,3787,5298
ENSG00000142949,5792,8145.965517,13025.61111,8339.25,5489.5
ENSG00000066135,9682,1413.931034,2031.444444,51649.5,3743.5
ENSG00000126091,6487,389.7241379,211.0277778,13603.71429,1956
ENSG00000117407,9048,96.79310345,119.8611111,414.2,1656.8
ENSG00000117408,9670,783.862069,964.8888889,8901.5,2749
ENSG00000132768,1802,609.8965517,947,460,2249.75
ENSG00000117410,533,2226.896552,3602.805556,1080.666667,1475.666667
ENSG00000117411,8704,983.8275862,1295.527778,4607.25,2093.25
ENSG00000159214,149473,442.2413793,770.1666667,3462,1337.5
ENSG00000171872,128209,28.93103448,1.277777778,46722,2341.5
ENSG00000178028,55929,1321.586207,1865.777778,815.875,1337.625
ENSG00000187147,55182,1607.655172,1819.722222,37188.42857,2344.714286
ENSG00000198520,339541,97.86206897,66.75,98370,1685
ENSG00000142945,11004,170.2758621,823.7222222,10869,2809.25
ENSG00000142937,6202,30957.31034,39271.16667,4924,705
ENSG00000264294,26811,0,0,0,74
ENSG00000173846,1263,1494.931034,802.1944444,6548,2358
ENSG00000222009,149478,924.5172414,411,3974.5,1358.5
ENSG00000126088,7389,1208.586207,1408.5,224.6666667,1286.166667
ENSG00000186603,84842,20.4137931,70.25,0,1802
ENSG00000132773,114034,370.5862069,350.2777778,872,1952.5
ENSG00000132763,25974,129.3103448,217.8333333,16068,2850
ENSG00000117448,10327,2111.275862,3096,3848.4,1367.2
ENSG00000132780,4678,3516.655172,5191.722222,4655.142857,2771.428571
ENSG00000159596,51249,573.5172414,864.5,9582,1471
ENSG00000086015,23139,1643.689655,1655.416667,36073.42857,3536.857143
ENSG00000117472,10103,4669.586207,2964.388889,18514,1629
ENSG00000171357,541468,128,63.22222222,32148,1849
ENSG00000085999,8438,81.89655172,385.0833333,27931.5,2847.5
ENSG00000173660,7388,3182,5940.055556,12468,600
ENSG00000117481,387338,838.2068966,1066.555556,4544.375,5417.875
ENSG00000117480,2166,900.137931,1334.5,12283.5,1638
ENSG00000197587,127343,30.44827586,67.88888889,4342.5,2876.5
ENSG00000186118,374973,1.379310345,4.222222222,976.5,738.5
ENSG00000142973,1580,4448.827586,6198.75,2933.666667,1741.5
ENSG00000186377,260293,221.1034483,412.3055556,37297.33333,2246.666667
ENSG00000186160,199974,29.10344828,46.58333333,97852,1907
ENSG00000162365,284541,3.827586207,5.666666667,5685.333333,2286.666667
ENSG00000162368,51727,4512.37931,4251.166667,16592.75,2366
ENSG00000186790,2301,1.206896552,3.305555556,0,1981
ENSG00000186564,2306,22,50.44444444,0,4675
ENSG00000117834,200010,18.48275862,4.916666667,3041,2817
ENSG00000162374,1996,15.34482759,175.8055556,34575.14286,1831.857143
ENSG00000123080,1031,350.4137931,586.5833333,3624,2061
ENSG00000204006,284546,0.137931034,0.138888889,89876,911
ENSG00000123091,26994,3448.724138,3545.527778,68202,3074
ENSG00000117859,114883,2167.896552,2789.388889,23341,3804.4
ENSG00000134717,91408,1598.310345,2479.194444,19993.33333,4553.333333
ENSG00000157077,9372,787.7586207,916.0833333,106208,4372.666667
ENSG00000134748,84950,1053.724138,1356.555556,11169,2605
ENSG00000116157,2882,284.1034483,318.5,10904,1229
ENSG00000182183,348378,62.03448276,21,19090.66667,1364
ENSG00000162378,79699,1353.137931,1503.916667,27971,6245
ENSG00000203995,440590,19.65517241,158.8888889,48170,3895
ENSG00000116171,6342,3742.827586,4323.75,11143.77778,2991
ENSG00000174348,127435,3563.689655,393.6666667,10246.5,3140
ENSG00000157184,1376,715.6551724,900.2222222,29350,3094
ENSG00000143006,63948,0.034482759,0.111111111,12360,1907
ENSG00000211452,1733,2.310344828,18.33333333,3392.333333,1681.111111
ENSG00000116212,115353,627.3448276,956.4166667,20072,1771
ENSG00000116205,127428,242.3103448,346.3333333,49220.5,3310.5
ENSG00000116221,51253,1135.793103,1894.083333,16885,1332
ENSG00000162390,26027,1076.862069,1014.972222,37397.25,2699.75
ENSG00000184313,374977,583.6551724,259.3611111,2249.153846,3160
ENSG00000243725,7268,20.89655172,26.63888889,24379,2432
ENSG00000162398,163747,3.931034483,6.027777778,34456.5,1745.5
ENSG00000143001,199964,25.17241379,29,20810,1097
ENSG00000162399,7809,0.75862069,3.777777778,16958,1370
ENSG00000169174,255738,23.4137931,185.2222222,11190,2696
ENSG00000162409,5563,289.7586207,139.2222222,40523.33333,9242
ENSG00000157131,731,0.275862069,0.361111111,122120,2392
ENSG00000172456,55277,404.5862069,359.8611111,95642.66667,1907.166667
ENSG00000134709,51361,364.2758621,976.4166667,27502.25,5695.5
ENSG00000162599,4774,4013.37931,1134.027778,70782.66667,8847.333333
ENSG00000132849,10207,2276.310345,3166.194444,63363.5,4226
ENSG00000240563,54596,18.10344828,5.638888889,13593.5,3934.5
ENSG00000162607,7398,1539.931034,2032.444444,7715.333333,3620.666667
ENSG00000132855,27329,0.24137931,0.055555556,11736,2951
ENSG00000125703,84938,422.4482759,382.7222222,78465,2700
ENSG00000187140,27022,52.37931034,2.305555556,0,2068
ENSG00000088035,29929,472.7931034,659.5555556,46301.5,2893.5
ENSG00000203965,84455,254.3103448,333.8333333,93982,2361
ENSG00000079739,5236,1454.034483,1472.027778,32990,2459.666667
ENSG00000185483,4919,382.2758621,65.91666667,384353.5,4073
ENSG00000177414,148581,0.24137931,0.861111111,78804,1136
ENSG00000158966,57685,666.4827586,323.8611111,60567,4801
ENSG00000162437,55225,607.3103448,630.0833333,45293.33333,3957.333333
ENSG00000162433,205,724.8965517,770.2777778,38702,6838.75
ENSG00000116675,9829,53.37931034,104.7222222,59218.25,4895.5
ENSG00000213625,54741,3418.275862,3124.444444,5877.333333,3417
ENSG00000116678,3953,744.6206897,286.2222222,44476,3747.428571
ENSG00000184588,5142,1313.931034,386.9444444,99014.5,4106.833333
ENSG00000118473,84251,225.2413793,257.1111111,42165.83333,3908.833333
ENSG00000152760,200132,65.62068966,21.94444444,16259.66667,2265.666667
ENSG00000198160,57708,1775.413793,1675.25,6711.272727,4446.545455
ENSG00000162594,149233,15.13793103,5.805555556,5108.606061,2040.151515
ENSG00000081985,3595,60.44827586,78.41666667,24463.42857,3949.428571
ENSG00000116717,1647,2382.965517,1805.833333,976,1210
ENSG00000033122,57554,27.44827586,6.861111111,96786,4863
ENSG00000229359,5301,0.034482759,0.111111111,0,996
ENSG00000116754,9295,8848.689655,10214.08333,5826,2112.714286
ENSG00000197568,11147,113.5517241,142.4444444,6169.25,837.25
ENSG00000116761,1491,69.68965517,87.61111111,11618.75,1831.25
ENSG00000254685,8790,287.8275862,416.8055556,4100,3957.666667
ENSG00000259030,100526835,36.96551724,28.97222222,170977.3333,3317.333333
ENSG00000116783,51086,3.655172414,3,612046,3023
ENSG00000162623,127253,803.8275862,740.1666667,15016.25,3370
ENSG00000162624,431707,8.862068966,2,13903.75,1779.25
ENSG00000117054,34,1577.793103,1846.972222,3293.111111,2046
ENSG00000137955,5876,1491.413793,2093.277778,2553,1335.666667
ENSG00000201487,26804,0,0,0,71
ENSG00000057468,4438,6.551724138,8.083333333,226182,3277
ENSG00000184005,256435,182.5172414,47.97222222,351560.3333,2454.333333
ENSG00000117069,81849,202.2413793,65.11111111,129412.6667,1830.666667
ENSG00000154027,26289,44.48275862,42.25,101428.6667,3163.666667
ENSG00000180488,374986,560.4827586,655.9722222,37138.75,5743.5
ENSG00000162614,91624,3174.931034,449.0833333,8621.857143,2565.714286
ENSG00000162616,11080,1482.724138,628.4444444,23137,2074
ENSG00000137960,54810,250.0689655,238.4444444,177402,2823
ENSG00000122420,5737,539.4137931,59.33333333,44263.5,5395.5
ENSG00000137959,10964,1537.931034,2183.944444,13490.33333,5467
ENSG00000137965,10561,1738.344828,2647.805556,7395.666667,1777.666667
ENSG00000117114,23266,1118.724138,1037.222222,99165,4432.714286
ENSG00000142875,5567,1903.758621,1148.083333,16183.63636,3467.909091
ENSG00000203943,148418,45.4137931,74.27777778,13805.75,1574.25
ENSG00000137976,58511,1.310344828,3.361111111,6952,1067.333333
ENSG00000117133,80135,1075.655172,1444.305556,34278,1975
ENSG00000162643,126820,13.89655172,14.05555556,67880.5,2948.5
ENSG00000142871,3491,21071.24138,3336.361111,1824,2293
ENSG00000137975,9635,1948.172414,3696.25,56896,4024
ENSG00000016490,1179,2.034482759,4.666666667,26023.5,2635
ENSG00000016602,22802,4794.62069,2990.25,20396.33333,3086
ENSG00000153923,9629,6.620689655,25.08333333,35378,3412
ENSG00000097033,51100,3584.965517,3947.888889,18654.5,6379
ENSG00000153936,9653,986.3793103,1315.138889,185401,4168
ENSG00000143013,8543,2762.310345,2956.305556,13766,5091
ENSG00000065243,5586,1959.827586,2416.111111,39246,5764.6
ENSG00000183347,163351,24.68965517,303.4722222,19587.5,4696.5
ENSG00000197147,23507,487.6551724,808.0555556,32113.66667,7857
ENSG00000171488,84230,708.137931,431.5277778,158488,7207
ENSG00000171492,55144,475.0344828,731.1111111,111183,3780.5
ENSG00000162664,284695,988.7241379,1274.611111,10185,2245
ENSG00000097046,8317,330.3793103,678.9444444,6131.8,2967.6
ENSG00000137948,676,9.448275862,92.16666667,17263.71429,3313
ENSG00000172031,253152,35.48275862,141.3888889,64236,1443
ENSG00000189195,23285,27.51724138,42.72222222,12322.5,4446.5
ENSG00000203910,388649,0.172413793,0.027777778,27031.5,763.5
