MGI ID,Entrez ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)],Average Intron Length,Average Transcript Length
MGI:MGI:95393,13806,NA,12.78,11.64,3768.5,934.2727273
MGI:MGI:104820,15382,NA,9.18,NA,2763.5,1919.4
MGI:MGI:98003,19899,408.9,18.14,24.37,1308.5,773.2727273
MGI:MGI:98107,20044,341.76,15.53,22.71,2497,584.5
MGI:MGI:97749,268373,NA,NA,NA,1021.5,1105.857143
MGI:MGI:98105,20042,NA,NA,NA,628.5,701.3333333
MGI:MGI:97591,18746,1089.96,21,59.42,11863,1099.909091
MGI:MGI:1924855,77605,10.94,19.97,0.62,15639,1076
MGI:MGI:1888388,51788,10.94,19.97,0.62,872,682.5714286
MGI:MGI:106248,276770,437.32,12.63,33.22,2942.5,1132.769231
MGI:MGI:98869,22142,NA,10.3,NA,2064,1803
MGI:MGI:1095406,22144,NA,10.3,NA,6260,1509
MGI:MGI:1095408,22147,NA,10.3,NA,3948,1775
MGI:MGI:1333112,19384,165.94,15.9,10.76,1753.5,1676.333333
MGI:MGI:109484,22631,72.15,11.11,6.06,11742,1197.444444
MGI:MGI:1914677,67427,445.93,10.99,37.74,530,1600
MGI:MGI:1922867,75617,11.34,3.13,2.72,1305.5,691.6666667
MGI:MGI:96247,15516,898.58,19.09,52.09,1822,881
MGI:MGI:1333818,20115,68.8,15.69,4.51,2215,581.1428571
MGI:MGI:894689,22627,248.6,17.75,15.02,18887,942.6
MGI:MGI:105922,270106,NA,6.32,NA,1602,988.6
MGI:MGI:105381,16785,NA,11.52,NA,1645.5,1029
MGI:MGI:1353472,27176,NA,9.58,50.76,913.5,791.1428571
MGI:MGI:105943,110954,NA,NA,NA,898,696.6363636
MGI:MGI:96759,16828,388.36,23.93,19.69,5614,961.2666667
MGI:MGI:98146,20084,NA,NA,NA,316.5,643.7
MGI:MGI:3649931,100042388,NA,NA,NA,NA,NaN
MGI:MGI:1350927,26961,1517.9,14.94,102.56,805.5,898.3333333
MGI:MGI:98036,19942,NA,NA,NA,1363,547.2
MGI:MGI:98158,20102,NA,12.28,160.43,2202.5,772.3333333
MGI:MGI:1913434,66184,NA,12.28,160.43,0,866
MGI:MGI:1309526,20068,NA,NA,NA,794,490.5
MGI:MGI:96242,15510,230.35,13.25,24.26,5475,1271.333333
MGI:MGI:95303,13681,138.56,5.86,19.17,1858.5,975.2307692
MGI:MGI:99523,18477,182.57,15.47,12.04,12112,938.6666667
MGI:MGI:1914436,67186,NA,21.99,NA,1690.5,580.6666667
MGI:MGI:98038,19951,812.49,15.09,54.46,2328.5,711.5
MGI:MGI:1924096,76846,583.5,15.3,38.84,1121,762
MGI:MGI:1861461,56702,NA,NA,NA,0,743
MGI:MGI:96113,15289,NA,NA,NA,2824.5,1030.7
MGI:MGI:96982,17319,1077.67,26.77,52.14,243.5,572
MGI:MGI:106022,19941,675.81,11.6,54.62,2426,526
MGI:MGI:96794,16905,238.28,18.79,13.91,4542,2017.5
MGI:MGI:1913739,66489,NA,NA,NA,1657,594.3333333
MGI:MGI:88283,12406,444.32,23.84,22.86,4421.5,1509.714286
MGI:MGI:1917171,229279,NA,7.51,2.43,3569,1728.857143
MGI:MGI:1350917,27050,314.71,26.14,15.25,3464,1492.8
MGI:MGI:3040672,268449,NA,NA,NA,1824,550.3333333
MGI:MGI:108057,19988,131.96,9.99,11.93,1848.5,684.5714286
MGI:MGI:99262,19934,NA,15.72,NA,5351.5,909
MGI:MGI:98073,19989,NA,12.7,54.17,738.5,1005.333333
MGI:MGI:1339467,20200,1193.05,18.46,70.31,5220.5,579
MGI:MGI:1353496,11740,276.79,14.21,19.34,1213.5,998
MGI:MGI:97050,17448,184.44,15.47,12.17,7479.5,829.1666667
MGI:MGI:2389091,267019,7.41,5.3,1.14,3866,1860.142857
MGI:MGI:98020,19921,NA,NA,NA,1939,615.6666667
MGI:MGI:1202063,20091,258.41,14.26,18.25,3786,977
MGI:MGI:1927636,11837,1063.71,25.74,51.8,1877.5,876.5
MGI:MGI:106184,18148,564.79,6.53,71.28,5044.5,1036.666667
MGI:MGI:98166,20116,NA,16.36,35.08,1200,666.8333333
MGI:MGI:3649794,100042180,NA,16.36,35.08,NA,NaN
MGI:MGI:97552,18648,NA,21.06,2.49,4963,1831
MGI:MGI:97555,18655,NA,18.21,16.26,8596.5,1440
MGI:MGI:1343877,19896,NA,NA,NA,932.5,800.25
MGI:MGI:1913725,66475,NA,NA,NA,573,681.6666667
MGI:MGI:2149632,114641,9.44,9.86,0.86,2035,615.5
MGI:MGI:96778,16854,174.27,15.91,11.33,11995.5,835.5
MGI:MGI:1929455,65019,89.17,9.63,8.25,2248.5,651.8
MGI:MGI:109318,17904,NA,13.78,NA,1572,701.2857143
MGI:MGI:1860603,54217,NA,NA,NA,445,383
MGI:MGI:1351329,27207,670.2,14.91,45.31,1163,529.25
MGI:MGI:1914921,67671,24.51,9.55,2.45,3399,384.25
MGI:MGI:1914410,67160,172.68,17.99,10.37,7189.5,978.8333333
MGI:MGI:1097682,20103,816.03,15.92,52.9,3553,779.6666667
MGI:MGI:1915302,68052,NA,NA,NA,1113.5,1173.125
MGI:MGI:96819,16952,158.26,8.97,15.46,13092,651.1428571
MGI:MGI:3704259,100039355,521.3,19.23,29.99,NA,NaN
MGI:MGI:98118,20055,521.3,19.23,29.99,1325,751.6666667
MGI:MGI:87994,11674,337.25,21.49,18.18,2601.5,1036.833333
MGI:MGI:2447811,353204,337.25,21.49,18.18,0,2051
MGI:MGI:98351,20655,298.68,14.86,20.26,3270.5,2305.5
MGI:MGI:1914275,67025,NA,NA,NA,12804,646.8888889
MGI:MGI:97356,18103,445.33,15.14,29.82,11459,912.3333333
MGI:MGI:2150309,114873,445.33,15.14,29.82,72228.5,1963.25
MGI:MGI:95288,13629,820.38,22.62,42.85,1556,1419.666667
MGI:MGI:95835,14828,304.85,16.07,19.76,1111.5,1418
MGI:MGI:1333780,20085,37.75,10.22,3.35,2720.5,828.4
MGI:MGI:87909,11475,171.31,18.37,10.13,12466,1781
MGI:MGI:104589,11468,171.31,18.37,10.13,14192,913.3333333
MGI:MGI:98809,22003,NA,NA,NA,17184.5,1437.571429
MGI:MGI:98037,19946,774.61,13.62,55.68,297.5,1064
MGI:MGI:108109,22628,93.33,7.55,11.3,13954.5,1694
MGI:MGI:1914518,67268,97.98,14.55,6.79,16057,918.4545455
MGI:MGI:1351628,27370,NA,16.86,NA,765,726.6666667
MGI:MGI:1931523,80838,NA,NA,NA,0,741
MGI:MGI:88251,12313,NA,10.1,NA,3404.5,2308.25
MGI:MGI:103250,12314,NA,10.1,NA,11809,898.5
MGI:MGI:103249,12315,NA,10.1,NA,6325,1140
MGI:MGI:1917655,70405,NA,10.1,NA,0,1421
MGI:MGI:98002,269261,NA,NA,NA,1004,1156.571429
MGI:MGI:101839,19943,NA,NA,NA,661,600.6
MGI:MGI:1351455,22121,366.95,16,23.74,1208,558
MGI:MGI:1298373,20005,NA,NA,NA,233,1201.454545
MGI:MGI:1278340,19933,NA,NA,NA,1218,916.3333333
MGI:MGI:1330294,15384,174.42,13,12.98,4307.5,1940
MGI:MGI:1312985,21346,245.12,13.15,18.13,4776.5,943
MGI:MGI:1347076,26451,31.48,7.84,3.42,1166,798.3333333
MGI:MGI:102854,100503670,NA,NA,NA,3539,1034.333333
MGI:MGI:2178103,192662,NA,23.67,NA,1388,2008.5
MGI:MGI:98147,20088,38.43,11.13,3.19,2999.5,1183
MGI:MGI:1914365,67115,NA,16.42,NA,1239.5,832.2
MGI:MGI:106008,11747,158.92,17.07,9.84,24084.5,941.6666667
MGI:MGI:99431,11840,102.88,12.15,8.02,14908.5,1895.5
MGI:MGI:1353494,11677,NA,17.52,4.9,9215,985
MGI:MGI:1915141,67891,535.67,16.2,34.91,2147,996.6666667
MGI:MGI:98117,20054,793.39,21.92,42.71,1016.5,536
MGI:MGI:1914928,67678,53.06,6.82,6.44,5955,596.25
MGI:MGI:105110,16898,NA,NA,NA,1329.5,862.75
MGI:MGI:104890,22070,307.89,26.67,14.8,1227,752.25
MGI:MGI:99894,15387,200.87,10.03,18.09,5508,1128.088235
MGI:MGI:98344,20641,41.76,8.21,4.38,15564,601.5
MGI:MGI:99687,19944,NA,NA,NA,1263.5,667.4
MGI:MGI:98159,20104,NA,NA,NA,1353.5,821
MGI:MGI:95834,14827,159.36,25.68,7.85,14457,1157
MGI:MGI:97750,19035,169.55,16.2,10.85,4299,2098.5
MGI:MGI:97503,18538,206.43,10.44,17.97,305.5,900.6
MGI:MGI:97464,18453,NA,27.69,NA,10611,1815.5
MGI:MGI:1927099,56040,1671.28,27.91,78.33,760,499
MGI:MGI:1342273,14873,157.28,11.95,12.43,4726.5,830.6666667
MGI:MGI:1351605,27367,NA,NA,NA,2503,1103.285714
MGI:MGI:102547,14109,NA,NA,NA,411,551.75
MGI:MGI:1924058,76808,18.12,21.5,0.97,1497,681.75
MGI:MGI:97803,19231,NA,23.62,43.03,2790.5,731.4
MGI:MGI:3651567,623796,NA,23.62,43.03,NA,NaN
MGI:MGI:1914347,67097,NA,15.31,10.9,26951,734.1111111
MGI:MGI:107801,11947,394.35,18.5,23.23,3018,874.5555556
MGI:MGI:108202,18521,NA,18.35,NA,12811.5,1104.645161
MGI:MGI:1915443,68193,NA,NA,NA,2809.5,537
MGI:MGI:94893,109754,169.08,19.27,9.89,12799,2317
MGI:MGI:1915686,68436,NA,NA,NA,1580,683.5714286
MGI:MGI:97167,17698,164.18,16.05,10.58,61480.5,2432
MGI:MGI:95865,14870,405.77,21.21,22.16,1758,757
MGI:MGI:95864,14869,405.77,21.21,22.16,1182,770
MGI:MGI:1913730,66480,6.3,9.04,0.61,1453,913.1666667
MGI:MGI:2183441,107272,188.75,13.25,13.83,10816,1231.857143
MGI:MGI:1270839,12301,78.88,9.88,7.17,6231,1077
MGI:MGI:107717,17886,378.13,15.69,24.71,53868,2126.777778
MGI:MGI:104680,15528,73.62,11.99,8.86,1520,869
MGI:MGI:1935159,628438,73.62,11.99,8.86,NA,NaN
MGI:MGI:107943,12466,156.59,11.42,12.75,28761,978.4285714
MGI:MGI:98797,21991,147.79,24.57,8.94,1094,951
MGI:MGI:1201378,11745,103.36,11.04,8.63,13045.5,851.3333333
MGI:MGI:101849,14694,754.79,18.99,43.72,255.5,1528.333333
MGI:MGI:102688,15270,9.95,5.27,1.5,0,1384
MGI:MGI:1355330,236539,84.37,17.53,5.13,20353,906.5
MGI:MGI:1914120,66870,70.31,31.92,3.07,20988.5,2134.266667
MGI:MGI:97550,18645,360.19,12.39,27.77,2913.5,1484
MGI:MGI:97572,18673,28.87,10.07,2.59,7948,856
MGI:MGI:98874,22166,172.49,10.56,14.88,11988,1051
MGI:MGI:99919,269523,NA,NA,NA,11706,1214.8
MGI:MGI:98817,22027,228.74,25.94,11.66,4709,1617.6
MGI:MGI:96097,15267,NA,NA,NA,0,557
MGI:MGI:2448283,319192,NA,NA,NA,NA,NaN
MGI:MGI:2448314,621893,NA,NA,NA,0,444
MGI:MGI:2448316,319176,NA,NA,NA,0,520
MGI:MGI:97286,17975,98.73,27.85,4.88,3738.5,2348.666667
MGI:MGI:1860267,56086,35.71,10.54,3.08,6276,1427
MGI:MGI:3612444,100504508,35.71,10.54,3.08,NA,NaN
MGI:MGI:96250,15519,274.96,12.17,21.7,1347.5,1186
MGI:MGI:1099460,19652,72.67,10.92,6.16,1091.5,1395.818182
MGI:MGI:2138133,98238,160.13,18.13,9.54,8598,1846.5
MGI:MGI:894320,11758,NA,NA,NA,7726,1122.142857
MGI:MGI:891963,22630,29.69,10.89,2.5,13582.5,1532.4
MGI:MGI:1339468,20194,436.84,10.69,37.47,6063,591
MGI:MGI:1929270,56431,158.22,11.6,12.78,26094,1911
MGI:MGI:1344408,23980,167.35,17.26,10.32,2448,808.5
MGI:MGI:88115,11946,126.54,19.1,7.31,3956,1500
MGI:MGI:104708,12462,246.99,13.66,17.71,11459.5,1656.888889
MGI:MGI:1274789,21351,NA,14.96,NA,5341,1022.4
MGI:MGI:1859516,54127,NA,NA,NA,2558,429.7142857
MGI:MGI:1347070,26444,191.06,16.55,12.08,3652.5,836.2857143
MGI:MGI:2445289,231507,330.02,11.53,26.69,13579.5,769.75
MGI:MGI:102709,12389,97.47,13,8.37,25830,925.4
MGI:MGI:97791,19205,130.7,11.48,10.65,3602,1303
MGI:MGI:107185,12465,372.99,13.55,26.92,7341.5,981.2
MGI:MGI:96269,19385,127.67,8.23,13.33,5247.5,808.25
MGI:MGI:1352745,14086,136,15.33,9.03,5803.5,1086.428571
MGI:MGI:1196288,16418,133.65,11.67,10.81,2855,775.8571429
MGI:MGI:88529,12974,80.96,18.48,4.77,21820,2926
MGI:MGI:1347045,26445,108.59,12.31,8.37,30288.5,704.6666667
MGI:MGI:97788,100678,27.18,12.32,2.1,10137.5,994
MGI:MGI:1321133,15254,238.03,13.76,17.13,3365,608
MGI:MGI:1915339,68089,45.74,15.78,2.99,9858,1270.5
MGI:MGI:98345,107686,204.02,17.15,12.63,2401,1420
MGI:MGI:88578,13063,NA,NA,NA,479.5,1865
MGI:MGI:2448270,319195,NA,NA,NA,2130,775
MGI:MGI:105037,13207,108.63,8.71,10.85,3300.5,1369.555556
MGI:MGI:104883,19167,9.84,12.33,0.76,13091.5,1055.333333
MGI:MGI:96157,97165,4.48,10.11,0.41,1143.5,1521
MGI:MGI:101947,11991,19.8,22.13,1.05,13633.5,1551.909091
MGI:MGI:98285,20383,35.05,12.1,2.74,4786,1575.777778
MGI:MGI:3649769,100502754,35.05,12.1,2.74,NA,NaN
MGI:MGI:107183,12469,111.88,13.3,8.21,7373,977.6
MGI:MGI:1201789,19982,NA,NA,NA,1141.5,611.6666667
MGI:MGI:1855692,53610,128.2,15.08,8.62,5622.5,1050
MGI:MGI:107186,12461,182.71,12.45,14,6035.5,833.8571429
MGI:MGI:95486,14113,NA,10.54,9.87,5128,670
MGI:MGI:103064,13205,138.3,6.23,18.12,4759.5,1575.2
MGI:MGI:1349406,26900,138.3,6.23,18.12,21249,3567.666667
MGI:MGI:109514,13014,221.34,12.15,17.34,1351,603
MGI:MGI:95421,13885,78.86,13.37,5.74,13692,863
MGI:MGI:1353498,18674,231.53,12.54,17.66,3041.5,1493.75
MGI:MGI:1347060,26441,170.49,11.45,13.88,5252,752.4285714
MGI:MGI:105125,20918,146.59,5.39,21.84,578.5,715.8
MGI:MGI:894684,18813,138.24,20.17,7.75,3885.5,1866.333333
MGI:MGI:99240,53817,113.7,7.6,12.68,9731.5,1594.5
MGI:MGI:1347005,26440,104.83,10.97,8.83,5981,927.75
MGI:MGI:1347009,26442,48.21,11.62,3.87,16222.5,813
MGI:MGI:88351,12534,44.87,8.9,4.41,10424.5,1223.142857
MGI:MGI:2668828,360198,NA,NA,NA,0,534
MGI:MGI:2145541,97908,NA,NA,NA,0,530
MGI:MGI:2448349,319152,NA,NA,NA,0,411
MGI:MGI:2448350,319153,NA,NA,NA,0,411
MGI:MGI:1929520,55949,437.27,19.06,25.44,1298.5,804.4444444
MGI:MGI:1347006,26443,146.33,10.36,12.8,18843.5,815.75
MGI:MGI:1858305,53328,99.44,14.47,6.86,6017,1857
MGI:MGI:98535,21454,152.77,11.11,12.69,1183.5,1123.166667
MGI:MGI:107184,12468,176.67,16.81,11.04,9111.5,1200
MGI:MGI:104678,17112,1107.41,14.45,76.43,3255.5,1662.5
MGI:MGI:97845,19353,NA,13.61,NA,11420,1853.25
MGI:MGI:2180784,170758,NA,13.61,NA,1129.5,794
MGI:MGI:106919,22333,112.07,15.33,7.44,13737,1020.2
MGI:MGI:1277961,18810,115.77,10.2,10.26,14150.5,10110.52381
MGI:MGI:105068,19349,169.6,8.13,17.86,41796,1422.142857
MGI:MGI:108447,11737,20.35,15.78,1.39,19644,820.6
MGI:MGI:107795,15381,NA,NA,NA,16826.5,1643.692308
MGI:MGI:95792,14719,77.57,15.82,5.07,12083,1291
MGI:MGI:1349431,26905,NA,10.47,16.82,14805,1826.333333
MGI:MGI:1349430,26908,NA,10.47,16.82,10464.5,1272
MGI:MGI:1349722,18458,717.4,18.6,42.07,6816.5,1157.1
MGI:MGI:96245,15526,134.72,14.78,9.16,13895,3034
MGI:MGI:1914988,67738,61.12,8.97,5.98,5633,1224.5
MGI:MGI:1202875,218490,98.86,10.96,8.31,4685,833.4
MGI:MGI:1338798,20195,399.59,10.36,34.99,5289,511
MGI:MGI:1913355,66105,37.69,11.05,3.14,14316,1363.2
MGI:MGI:2444552,238880,NA,NA,NA,0,2737
MGI:MGI:1277989,108037,76.43,10.68,6.55,2099,1155
MGI:MGI:104689,12464,101.61,9.95,9.16,5596.5,1013.222222
MGI:MGI:107365,22196,28.91,11.68,2.32,5744,947.0714286
MGI:MGI:1928894,57808,NA,NA,NA,2933.5,829.375
MGI:MGI:1891925,59013,116.8,6.58,14.61,3849,1401.833333
MGI:MGI:95556,192176,323.62,20.85,17.72,7996,3242.266667
MGI:MGI:99146,22608,120.28,17.79,7.31,7697,781.8571429
MGI:MGI:1931527,50709,NA,NA,NA,0,1930
MGI:MGI:1929282,56351,49.9,9.69,4.59,9501,1326.333333
MGI:MGI:95299,13665,19.96,11.92,1.58,20199.5,1919
MGI:MGI:1345635,23983,154.76,6.38,19.89,0,1830
MGI:MGI:109130,20867,134.66,16.72,8.5,17158,2173
MGI:MGI:106028,11853,81,13.2,5.95,2771.5,754.1666667
MGI:MGI:98230,20224,50.91,10.84,4.31,5124,780.25
MGI:MGI:104884,19170,119.63,13.19,8.79,20965.5,1731.25
MGI:MGI:97831,67895,115.93,12.77,8.72,12908,879.75
MGI:MGI:101790,16592,16.2,25.59,2.05,1783,2112.5
MGI:MGI:1100851,15568,13.35,9.44,1.26,23694,2891
MGI:MGI:1913293,66043,113.6,16.9,7.08,2804.5,1040.666667
MGI:MGI:102520,12034,85.63,9.85,7.8,414,927.625
MGI:MGI:103016,19045,229.18,15.75,14.99,1883,1379
MGI:MGI:103187,18104,79.61,11.41,6.48,13429,1553
MGI:MGI:101940,11857,140.86,13.95,10,11076.5,818.8
MGI:MGI:1858195,51810,143.69,11.45,11.74,257.5,1906.777778
MGI:MGI:109486,21672,98.11,12.56,7.46,2971.5,1138.5
MGI:MGI:1347014,26446,256.61,12.85,19.44,5098.5,951
MGI:MGI:88252,12317,315.48,34.09,13.68,1628.5,1175.5
MGI:MGI:96414,269951,75.32,14.45,6.47,9442.5,1018.714286
MGI:MGI:106341,28080,130.38,14.35,9.04,4047.5,663.8333333
MGI:MGI:1914582,67332,176.35,10.7,15.45,16864.5,1381
MGI:MGI:1918764,71514,57.29,13.86,4.08,3578,1069.3
MGI:MGI:87968,269378,11.62,15.84,0.91,8995.5,1140
MGI:MGI:2444926,216197,63.11,10.49,5.47,4732,2847.5
MGI:MGI:1914878,67628,205.3,15.87,13.99,20040,1716
MGI:MGI:2388633,67300,132.58,14.6,9.1,29211,2783
MGI:MGI:1350933,27061,78.25,16.34,5.08,28779,1219
MGI:MGI:98283,110809,49.95,11.27,4.11,1577,1910.166667
MGI:MGI:107532,16211,125.05,13.78,8.92,11337.5,2438.666667
MGI:MGI:1333871,15108,47.58,15.09,3.59,902,958.25
MGI:MGI:102503,17709,NA,NA,NA,NA,NaN
MGI:MGI:109240,22195,28.65,13.51,2.07,30383.5,1426.875
MGI:MGI:106211,12540,78.5,13.16,5.78,35203.5,1778
MGI:MGI:95797,14751,92.48,27.15,4.37,13420.5,1175.363636
MGI:MGI:1339951,110750,35.81,11.13,2.98,18947,1502.166667
MGI:MGI:1098257,19172,213.44,15.01,14.39,1432,698
MGI:MGI:105066,19325,40.29,12.61,3.06,59029,3513
MGI:MGI:109367,23918,NA,9.65,17.58,1764,802
MGI:MGI:1096365,19188,51.53,13.45,5.97,1699,614.9
MGI:MGI:2158813,170930,NA,NA,NA,6571.5,844.2857143
MGI:MGI:1915261,68011,NA,5.65,29.44,6925,633.25
MGI:MGI:96217,15452,48.44,11.89,3.83,32234,1289
MGI:MGI:1915191,67941,166.6,10.48,14.55,1769.5,450.1666667
MGI:MGI:2449202,326618,187.34,12.57,14.24,12566,1243.5
MGI:MGI:1917606,70356,116.36,13.87,8.37,20247.5,1172
MGI:MGI:1341822,22384,140.89,14.77,9.59,15284.5,1761.5
MGI:MGI:1859821,54683,95.98,10.3,8.48,1863.5,1086
MGI:MGI:99845,14569,69.76,16.68,4.38,14091,1350.222222
MGI:MGI:104885,19166,130.05,11.81,10.33,33799,2132
MGI:MGI:95781,14688,NA,18.7,NA,34192,1801.666667
MGI:MGI:106181,18432,189.66,15.96,12.26,3079,2059.125
MGI:MGI:1351352,108147,74.96,13.09,5.54,11649,2003.8
MGI:MGI:96739,16765,NA,NA,NA,3627.5,783
MGI:MGI:108515,12417,NA,7.76,6.06,9475.5,1185.142857
MGI:MGI:1926967,56348,60.01,18.51,3.54,37521,1277
MGI:MGI:107502,14957,NA,NA,NA,0,7425
MGI:MGI:1890773,60595,121.67,16.2,7.82,50490.5,1644.6
MGI:MGI:106098,110826,41.8,15.91,3.63,6848,647
MGI:MGI:2148924,114584,161.73,10.68,13.99,4883.5,1154.5
MGI:MGI:1353561,30960,43.46,6.85,5.26,22716,2174
MGI:MGI:107681,20090,18.61,11.62,1.56,655.5,425.5
MGI:MGI:1351511,17463,69.67,8.89,6.89,6503,1581
MGI:MGI:1353460,30795,46.76,7.7,7.32,5701.5,1372.916667
MGI:MGI:99425,19326,2.88,15.3,0.19,11391,2655
MGI:MGI:1916327,69077,61.05,5.94,8.32,5674.5,1130
MGI:MGI:97553,110208,102.94,17.22,6.34,9567.5,1603.6
MGI:MGI:1919367,72117,32.56,10.17,2.89,19018,3484
MGI:MGI:1330312,17149,58.38,8.15,6.15,5446.5,587.5
MGI:MGI:1889515,58.38,8.15,6.15,MGI:MGI:1889515,NA,NaN
MGI:MGI:1341878,13660,75.53,12.54,5.78,10058.5,1280.5
MGI:MGI:1923731,192170,NA,8.3,NA,6084,725.6666667
MGI:MGI:1934835,93765,NA,NA,NA,13569.5,1211.666667
MGI:MGI:1341044,21681,NA,8.26,NA,2311.5,1628.666667
MGI:MGI:1913144,56009,NA,8.26,NA,0,1273
MGI:MGI:1194505,12261,125.6,8.55,12.72,2168.5,939
MGI:MGI:1277968,19285,75.33,19.1,4.37,8075.5,2074.5
MGI:MGI:2138741,98758,60.32,9.16,5.79,14529.5,1400.333333
MGI:MGI:108403,20018,NA,4.99,NA,2792,1015.166667
MGI:MGI:109372,12419,NA,8.51,NA,20689.5,3496.5
MGI:MGI:1261437,11949,80.62,14.17,5.64,19279.5,1008
MGI:MGI:2444848,217057,11.04,7.39,1.26,5388,3085
MGI:MGI:1096367,19186,51.71,15.58,4.78,1342.5,812.2307692
MGI:MGI:893586,20826,NA,12.27,17.07,4233,1125
MGI:MGI:2141861,232910,82.98,15.47,5.47,5763,628
MGI:MGI:1928750,59021,68.1,11.61,5.48,70002,2133
MGI:MGI:2135637,57320,54.25,16.66,4.43,10129.5,711.7
MGI:MGI:1914923,67673,121.05,12.91,9.05,2566,499.25
MGI:MGI:1926232,225027,37.08,9.73,3.4,2509,1670.875
MGI:MGI:88262,12331,129.52,13.52,9.37,18801,1478.428571
MGI:MGI:104652,12345,106.41,14.5,7.33,77021.5,1070.1
MGI:MGI:102690,20810,100.74,9.63,9.32,1258.5,847
MGI:MGI:106014,18221,79.09,14.1,5.72,6599,720.3333333
MGI:MGI:95851,227753,137.64,19.79,7.8,25385.5,1457.428571
MGI:MGI:107846,15469,153.21,10.1,13.74,7214.5,877.5
MGI:MGI:88030,11746,37.66,16.85,3.36,21648.5,1452.444444
MGI:MGI:1298381,13202,69.18,14.72,4.72,1382,611.5
MGI:MGI:104816,15388,NA,NA,NA,5703.5,1509.769231
MGI:MGI:1924384,77134,56.2,13.71,4.02,0,2678
MGI:MGI:104880,19175,129.35,13.36,9.43,251,776.75
MGI:MGI:1914449,67199,28.09,16.74,1.77,49740,1077
MGI:MGI:2387629,230908,23.73,10.3,2.09,4747,1761.142857
MGI:MGI:109194,22629,65.04,9.42,6.12,6048.5,1049.666667
MGI:MGI:1914152,66902,45,11.38,3.67,21852.5,1678
MGI:MGI:1098259,12332,116.74,13.77,8.37,9402,794.8181818
MGI:MGI:2385271,233016,54.22,16.75,3.4,13459.5,748.4
MGI:MGI:1913391,66141,NA,16.44,NA,507,678
MGI:MGI:88090,11898,68.8,13.66,4.38,48770,1696
MGI:MGI:1914253,67003,45.58,11.55,3.7,14213.5,846.5
MGI:MGI:1913659,66409,71.07,6.82,8.64,5898,921.6
MGI:MGI:1923959,76709,78.93,11.26,6.5,15310.5,1116.5
MGI:MGI:1929063,56447,NA,13.25,NA,23889.5,1571.5
MGI:MGI:1929501,65106,144.41,9.08,13.97,21185,1442
