gi,est_hits,introns,intronsize,exonsize,avgintronsize
17487943,712,12,7246,6792,603.8333333
18602347,1869,29,91102,6714,3141.448276
14736604,281,45,47687,6639,1059.711111
18582791,441,41,27829,6414,678.7560976
18600604,211,35,101580,6273,2902.285714
14772902,335,20,12876,6057,643.8
12667788,560,39,60764,5882,1558.051282
14781619,256,5,3609,5874,721.8
14771675,251,37,20889,5826,564.5675676
13124875,437,39,139238,5817,3570.205128
10835037,275,38,100857,5379,2654.131579
18598275,238,32,34324,5019,1072.625
4758012,321,30,44652,4988,1488.4
4507073,511,33,72787,4944,2205.666667
4503351,206,39,56460,4851,1447.692308
14724649,482,30,13989,4491,466.3
17455493,861,35,43672,4425,1247.771429
15299663,220,34,46415,4422,1365.147059
14752239,251,25,49784,4413,1991.36
16158948,306,29,61816,4323,2131.586207
18597334,291,16,48959,4233,3059.9375
14747967,241,21,40531,4149,1930.047619
18565460,710,51,31307,4101,613.8627451
17443730,296,24,38830,3915,1617.916667
17436747,469,23,8298,3885,360.7826087
13259510,332,31,14764,3837,476.2580645
14751102,308,22,10203,3834,463.7727273
4503743,357,29,9801,3810,337.9655172
14784285,314,27,21668,3768,802.5185185
4504375,214,21,91541,3696,4359.095238
14721946,292,23,58242,3663,2532.26087
4505941,210,24,47688,3525,1987
14749302,209,20,10039,3513,501.95
16160478,376,20,205065,3510,10253.25
4505099,237,17,133899,3459,7876.411765
4759170,242,18,69000,3426,3833.333333
14756381,346,25,41882,3294,1675.28
13632747,214,28,27301,3264,975.0357143
14758460,730,24,12998,3177,541.5833333
18573213,269,20,341389,3171,17069.45
14780801,411,26,18068,3060,694.9230769
12725813,343,22,43488,3045,1976.727273
14670350,398,32,66777,2997,2086.78125
4502285,202,20,65562,2994,3278.1
4759056,285,23,43439,2933,1888.652174
14786256,358,23,35105,2916,1526.304348
4501841,289,19,27177,2907,1430.368421
13644108,348,23,110871,2862,4820.478261
7705369,249,20,38283,2862,1914.15
7661898,330,23,17884,2835,777.5652174
14758219,208,21,35476,2829,1689.333333
14770072,317,20,48962,2826,2448.1
14759071,314,17,25257,2814,1485.705882
12025678,365,20,78994,2736,3949.7
14743422,286,12,10368,2736,864
18554470,640,20,6937,2727,346.85
4503539,718,20,6796,2724,339.8
14720963,468,16,150737,2721,9421.0625
18570070,1032,17,209012,2709,12294.82353
14043022,546,20,25496,2703,1274.8
18572630,326,15,21994,2697,1466.266667
9665255,204,13,15772,2691,1213.230769
6912510,249,17,15691,2683,923
4501891,455,20,101563,2679,5078.15
14753016,403,23,436630,2658,18983.91304
18601403,207,19,18684,2655,983.3684211
18565781,443,4,88744,2646,22186
14774780,543,21,29587,2630,1408.904762
14738665,263,15,13074,2592,871.6
18548554,243,23,30577,2583,1329.434783
15297714,243,23,30577,2583,1329.434783
9966805,416,7,25986,2580,3712.285714
14786840,391,14,39519,2571,2822.785714
13640502,203,22,46465,2553,2112.045455
18590554,519,13,5249,2541,403.7692308
14731163,224,16,23638,2526,1477.375
16166325,208,17,55320,2514,3254.117647
5032179,777,16,3320,2508,207.5
14745716,329,17,22165,2445,1303.823529
6631095,202,16,17692,2427,1105.75
14141161,532,13,6870,2421,528.4615385
18575509,377,14,31620,2397,2258.571429
15318052,320,16,26302,2391,1643.875
5032087,203,15,19846,2382,1323.066667
18603822,205,18,42565,2379,2364.722222
18578129,222,17,11071,2376,651.2352941
18567563,317,15,77965,2370,5197.666667
14721309,361,14,31656,2367,2261.142857
18543837,577,16,19764,2358,1235.25
4504165,526,16,30425,2349,1901.5625
4502167,588,17,286679,2313,16863.47059
7662653,330,16,48297,2286,3018.5625
17481060,239,14,16945,2283,1210.357143
14766987,201,18,6126,2274,340.3333333
18590173,290,16,86647,2259,5415.4375
14721001,200,18,12333,2250,685.1666667
17485310,359,16,26613,2244,1663.3125
15313172,244,9,13015,2241,1446.111111
4557759,259,11,7887,2238,717
14763626,327,17,87835,2229,5166.764706
14774603,273,16,31251,2226,1953.1875
4826686,334,25,36799,2223,1471.96
10835051,202,20,38924,2222,1946.2
11418031,302,15,21642,2205,1442.8
13654270,260,13,19762,2205,1520.153846
13129150,1652,9,2486,2199,276.2222222
10863945,593,20,93581,2199,4679.05
13640732,354,21,6784,2199,323.047619
14767899,284,14,41353,2193,2953.785714
14783996,353,18,12912,2190,717.3333333
17442691,204,9,38049,2190,4227.666667
14780705,236,20,18542,2163,927.1
18579009,574,15,13165,2160,877.6666667
17453538,373,19,47123,2157,2480.157895
17454269,202,8,4446,2154,555.75
12408656,267,20,26476,2144,1323.8
14768947,481,16,31864,2133,1991.5
13644124,471,13,7056,2133,542.7692308
18556492,320,16,26542,2133,1658.875
4507241,272,15,6615,2130,441
17454609,207,12,7753,2130,646.0833333
4826998,338,9,6488,2124,720.8888889
7706485,414,17,57299,2115,3370.529412
14779591,323,16,95381,2112,5961.3125
13630116,239,8,16493,2109,2061.625
4505293,296,13,46727,2103,3594.384615
13631052,297,16,30115,2097,1882.1875
14758437,321,15,5292,2073,352.8
14778809,233,16,35104,2070,2194
6996010,393,16,36751,2058,2296.9375
4507467,690,16,32151,2052,2009.4375
7657134,254,15,34148,2043,2276.533333
16158324,417,16,18076,2040,1129.75
14776698,278,17,35658,2031,2097.529412
18600737,219,14,14965,2013,1068.928571
18606513,515,8,12512,2007,1564
5803109,375,14,24772,2004,1769.428571
6453818,272,13,12589,1997,968.3846154
18549400,743,11,22215,1995,2019.545455
16157047,356,14,36095,1995,2578.214286
18586547,303,16,46393,1992,2899.5625
4758874,233,16,59194,1990,3699.625
17489281,252,14,12297,1983,878.3571429
15149476,295,14,30770,1982,2197.857143
4885225,492,16,29886,1971,1867.875
13376259,213,18,27984,1970,1554.666667
4557235,505,19,3166,1968,166.6315789
16507237,448,7,2584,1965,369.1428571
18568063,202,14,30474,1962,2176.714286
16175492,229,12,4010,1953,334.1666667
4885065,204,16,8884,1953,555.25
8922731,493,6,14974,1938,2495.666667
16177699,273,9,22695,1938,2521.666667
18555370,206,11,160107,1926,14555.18182
4505575,1674,13,15419,1902,1186.076923
5031755,237,9,28676,1902,3186.222222
11421796,634,16,60095,1896,3755.9375
18581217,278,0,0,1896,0
5453994,214,12,17366,1896,1447.166667
14748098,227,14,32546,1893,2324.714286
17443615,212,17,28347,1888,1667.470588
18546732,491,13,21275,1875,1636.538462
18578087,214,13,11065,1872,851.1538462
14723548,241,16,3318,1869,207.375
15487670,204,20,11061,1860,553.05
13632833,754,12,4376,1845,364.6666667
18594106,217,14,37289,1845,2663.5
4505029,304,18,32731,1836,1818.388889
18594122,1128,11,40003,1830,3636.636364
4501989,360,13,17146,1830,1318.923077
10863907,555,10,4550,1821,455
14785405,242,9,9337,1812,1037.444444
14766393,223,1,7021,1809,7021
4557351,218,2,55949,1809,27974.5
18585599,1028,11,10203,1794,927.5454545
5031815,407,13,17976,1794,1382.769231
4504151,590,11,1873,1782,170.2727273
14783620,616,8,3598,1773,449.75
14754633,595,14,34143,1770,2438.785714
15296128,282,16,82951,1770,5184.4375
18570553,230,11,78437,1749,7130.636364
14751553,210,10,11241,1743,1124.1
18560390,230,14,62107,1734,4436.214286
18591845,282,11,7955,1725,723.1818182
4508047,273,8,7408,1719,926
5729933,208,10,180531,1707,18053.1
12733091,210,0,0,1704,0
7705433,967,12,37344,1695,3112
14783614,504,8,2997,1695,374.625
16915936,521,13,2401,1692,184.6923077
18599692,281,14,269461,1692,19247.21429
7657013,259,11,106050,1683,9640.909091
14767139,350,0,0,1674,0
4506243,342,14,11683,1674,834.5
14755380,305,11,8775,1671,797.7272727
4504373,219,13,34270,1671,2636.153846
14736052,250,14,6561,1650,468.6428571
4503523,634,13,13514,1647,1039.538462
6005727,508,14,14081,1647,1005.785714
14763184,233,13,18445,1647,1418.846154
17463019,217,12,13099,1647,1091.583333
9506931,248,13,6276,1643,482.7692308
18550515,959,11,16873,1632,1533.909091
16159222,678,10,12837,1626,1283.7
18601858,228,7,10844,1626,1549.142857
18561012,349,18,12686,1620,704.7777778
4503013,461,14,5098,1613,364.1428571
14762175,422,15,14245,1608,949.6666667
7019333,207,16,6963,1608,435.1875
4827056,304,14,39934,1605,2852.428571
14744596,619,11,30438,1602,2767.090909
18568003,299,17,21765,1593,1280.294118
18601067,299,17,21766,1593,1280.352941
17460660,474,8,6095,1590,761.875
18572613,299,8,21415,1584,2676.875
4826734,476,14,9671,1581,690.7857143
14740485,986,13,32229,1575,2479.153846
15812193,288,8,21975,1569,2746.875
13569848,273,7,7361,1566,1051.571429
18577854,201,15,9836,1566,655.7333333
11436533,212,12,41063,1554,3421.916667
18585147,1609,5,27399,1551,5479.8
14768487,214,11,12627,1548,1147.909091
16306548,420,10,22371,1545,2237.1
14722511,307,9,6744,1536,749.3333333
10280622,292,9,6380,1536,708.8888889
18553514,288,12,32984,1536,2748.666667
18550624,283,9,7279,1536,808.7777778
18545254,283,9,6673,1536,741.4444444
14740547,272,9,20380,1533,2264.444444
4758340,228,12,9447,1527,787.25
14785167,612,12,23185,1518,1932.083333
4557317,373,13,15517,1518,1193.615385
7657015,268,11,22669,1518,2060.818182
14745882,292,12,50311,1506,4192.583333
14165461,226,11,79105,1506,7191.363636
4557379,419,6,14819,1503,2469.833333
7661654,331,12,11729,1500,977.4166667
14742487,313,9,2432,1500,270.2222222
15310156,307,11,15005,1500,1364.090909
4826880,317,9,3568,1487,396.4444444
17480716,338,11,18011,1485,1637.363636
15812178,310,1,514,1485,514
5453914,338,14,11058,1482,789.8571429
13643324,298,4,11064,1482,2766
5730051,324,9,30159,1479,3351
14775316,371,8,12269,1473,1533.625
18586575,371,8,12269,1473,1533.625
4758734,245,12,13366,1470,1113.833333
14737029,208,12,23319,1467,1943.25
4557287,201,3,6258,1458,2086
16445426,201,8,5593,1458,699.125
11418165,215,12,18533,1455,1544.416667
11424801,213,11,27736,1455,2521.454545
4504919,1181,7,30902,1452,4414.571429
18545097,313,12,19204,1452,1600.333333
13128860,361,13,39452,1449,3034.769231
18601277,214,10,18715,1446,1871.5
4507841,630,12,9075,1443,756.25
4505989,377,13,5465,1443,420.3846154
4885061,303,12,20925,1443,1743.75
14760256,1056,12,10033,1437,836.0833333
4503009,249,8,116974,1431,14621.75
14753860,210,8,4391,1431,548.875
14764738,226,10,18687,1428,1868.7
4504327,282,14,34303,1425,2450.214286
4507163,228,0,0,1425,0
4504169,202,11,21622,1425,1965.636364
18587827,364,7,1346,1422,192.2857143
15431310,749,7,2995,1419,427.8571429
14759141,948,9,8041,1416,893.4444444
14754335,295,9,32913,1416,3657
7661890,331,14,4591,1413,327.9285714
18596341,272,9,5804,1413,644.8888889
13655229,423,9,5877,1410,653
14783596,376,8,14070,1410,1758.75
15302936,324,10,29202,1401,2920.2
14165437,611,14,7479,1395,534.2142857
17472883,506,9,4198,1395,466.4444444
5730023,434,14,20567,1392,1469.071429
18599805,390,13,130177,1392,10013.61538
14724100,283,13,10443,1392,803.3076923
14729415,418,0,0,1386,0
5902134,396,9,2387,1386,265.2222222
11436853,380,8,6104,1386,763
15304413,313,11,20265,1386,1842.272727
4505489,401,9,2942,1385,326.8888889
18590287,320,9,3018,1380,335.3333333
4503729,272,9,6757,1380,750.7777778
14723586,215,11,11516,1374,1046.909091
14733807,513,10,7669,1371,766.9
17483190,228,10,7925,1371,792.5
14775827,505,13,28412,1362,2185.538462
4504575,345,10,16786,1359,1678.6
14773743,223,11,5003,1359,454.8181818
18591095,280,8,7061,1356,882.625
4557229,232,10,4269,1356,426.9
14785923,229,10,3968,1356,396.8
18597634,201,8,1196,1356,149.5
14776685,403,3,11055,1353,3685
16162075,265,8,4312,1350,539
12737357,311,0,0,1347,0
17921989,245,3,2166,1347,722
14768418,301,10,4094,1344,409.4
4503521,955,12,45509,1338,3792.416667
14758306,726,3,1461,1338,487
18564201,704,3,2269,1338,756.3333333
6598323,445,10,45936,1337,4593.6
18552594,213,13,11475,1332,882.6923077
4505571,770,7,14347,1323,2049.571429
4506207,451,10,14507,1323,1450.7
14748926,449,0,0,1323,0
17461954,420,12,27140,1323,2261.666667
14767327,450,11,6147,1320,558.8181818
14747397,217,8,12926,1320,1615.75
14787067,306,8,10046,1314,1255.75
14757348,290,8,20731,1314,2591.375
18554450,839,9,5335,1308,592.7777778
18553979,214,7,16210,1308,2315.714286
4503573,230,10,3933,1305,393.3
13632681,217,6,20910,1305,3485
14327896,402,8,9083,1302,1135.375
4506209,340,11,19041,1302,1731
17459081,231,7,3633,1302,519
16179006,219,7,3634,1302,519.1428571
17458406,381,9,20956,1299,2328.444444
4503543,240,9,3914,1296,434.8888889
4557888,1574,6,2389,1293,398.1666667
12739307,331,9,24783,1293,2753.666667
13631372,359,8,16536,1290,2067
14734935,208,13,24153,1290,1857.923077
17458341,238,12,53411,1281,4450.916667
17444738,235,11,27638,1278,2512.545455
4504161,236,9,14252,1275,1583.555556
5032069,234,5,2953,1275,590.6
14748212,549,3,8107,1272,2702.333333
14773762,228,12,34879,1269,2906.583333
14723527,293,6,2381,1263,396.8333333
4503685,682,9,9578,1260,1064.222222
7661850,296,10,7721,1260,772.1
13376788,261,8,5175,1260,646.875
18590877,229,5,10915,1260,2183
14763817,465,10,8866,1257,886.6
14772735,213,3,4483,1257,1494.333333
4505763,890,10,20256,1254,2025.6
14759318,645,8,3988,1254,498.5
14745113,446,7,34537,1254,4933.857143
14772303,242,8,27641,1251,3455.125
14745604,303,0,0,1248,0
13647908,397,4,37119,1245,9279.75
18567090,378,7,3741,1245,534.4285714
14746700,378,7,3741,1245,534.4285714
4504067,227,8,31793,1242,3974.125
11436734,541,8,9133,1239,1141.625
16950633,470,13,47580,1239,3660
14776080,259,11,10258,1236,932.5454545
18550325,1095,8,15210,1233,1901.25
18601620,310,11,7740,1233,703.6363636
4504957,245,8,36630,1233,4578.75
14782041,233,3,8178,1230,2726
14750429,201,11,10325,1230,938.6363636
15529970,270,9,8602,1227,955.7777778
5901960,343,8,3985,1224,498.125
14779267,367,6,5029,1221,838.1666667
14771027,330,11,3280,1221,298.1818182
14758531,306,13,15195,1221,1168.846154
18601157,293,11,6937,1221,630.6363636
18557954,237,7,149272,1215,21324.57143
7657599,231,12,24877,1215,2073.083333
14769992,202,10,27900,1212,2790
11434577,358,6,33655,1203,5609.166667
14249230,393,9,13966,1197,1551.777778
16905526,338,11,27288,1197,2480.727273
13640873,260,7,11239,1194,1605.571429
14755394,231,8,15564,1194,1945.5
17440649,201,9,30831,1194,3425.666667
14764159,201,9,28462,1194,3162.444444
14725894,251,9,170217,1191,18913
17489154,679,7,10625,1188,1517.857143
14751481,219,13,25356,1188,1950.461538
4504047,1856,12,17942,1185,1495.166667
14759739,494,12,8666,1185,722.1666667
4758582,208,12,7298,1181,608.1666667
14765042,260,7,54838,1176,7834
7661870,256,7,12528,1176,1789.714286
4505685,238,10,103452,1173,10345.2
5454140,210,9,44578,1173,4953.111111
7661626,565,7,15943,1164,2277.571429
18592274,282,12,4540,1164,378.3333333
14753464,213,7,12775,1164,1825
15300051,310,11,70270,1155,6388.181818
14772925,567,12,14301,1152,1191.75
14730899,512,3,6494,1146,2164.666667
14763181,247,6,54857,1146,9142.833333
15310905,231,9,13959,1146,1551
14249682,229,9,11655,1143,1295
14784564,217,0,0,1143,0
4885241,210,3,1305,1143,435
5901922,258,6,17692,1137,2948.666667
5802992,694,5,17024,1134,3404.8
4501883,429,7,12588,1134,1798.285714
5292161,357,9,11445,1134,1271.666667
6681764,351,10,36868,1134,3686.8
14781810,423,5,9914,1131,1982.8
14774537,307,12,14398,1131,1199.833333
14746331,249,10,20674,1131,2067.4
4501889,208,7,17147,1131,2449.571429
14771338,568,10,17407,1125,1740.7
18564160,386,7,36405,1122,5200.714286
15297214,351,5,3221,1122,644.2
14781941,514,8,7672,1119,959
4503071,245,8,20720,1119,2590
4758496,311,7,53016,1116,7573.714286
14742907,391,9,2147,1104,238.5555556
4758204,316,3,1093,1104,364.3333333
7661802,263,7,9267,1104,1323.857143
18586084,249,8,11231,1101,1403.875
14738249,261,7,7998,1095,1142.571429
18578162,238,9,3368,1095,374.2222222
4885063,200,7,926,1095,132.2857143
13631476,296,8,6023,1092,752.875
13651749,1649,6,6476,1086,1079.333333
18583010,1214,3,3539,1086,1179.666667
12728890,480,0,0,1086,0
4504497,362,10,9872,1083,987.2
4506013,279,9,31263,1083,3473.666667
17479362,368,10,2502,1080,250.2
14746933,206,8,16719,1080,2089.875
14768293,253,7,17634,1074,2519.142857
7305503,403,9,2007,1071,223
14738077,330,0,0,1071,0
17149851,265,7,8573,1071,1224.714286
14737458,492,7,20301,1068,2900.142857
7706469,307,2,1044,1068,522
11421447,253,10,21233,1065,2123.3
14043072,417,10,7020,1062,702
18566674,341,7,5900,1062,842.8571429
4503515,653,7,109747,1059,15678.14286
14779030,892,1,103,1056,103
13654761,373,0,0,1056,0
14776195,239,7,41517,1056,5931
13646592,272,7,13566,1053,1938
14764673,272,9,19236,1053,2137.333333
15011918,268,8,95905,1053,11988.125
18555268,214,7,34254,1053,4893.428571
14149702,200,8,3070,1053,383.75
4502561,406,8,6173,1047,771.625
6005862,231,9,53976,1047,5997.333333
14723245,225,5,10088,1047,2017.6
14766699,1110,1,64,1044,64
14719986,594,1,64,1044,64
4505709,376,5,6443,1044,1288.6
7706150,224,3,41842,1044,13947.33333
4502101,679,11,10553,1041,959.3636364
13654969,307,8,77296,1041,9662
17441432,253,8,34499,1041,4312.375
17457499,246,7,4815,1041,687.8571429
14771355,349,7,16223,1038,2317.571429
16162035,281,8,1529,1023,191.125
14753616,281,8,1529,1023,191.125
18585824,269,0,0,1023,0
5453690,234,2,1391,1023,695.5
14745062,571,8,7326,1020,915.75
13644551,475,5,18056,1020,3611.2
5174541,542,8,17249,1017,2156.125
14765119,382,1,3800,1017,3800
6912280,308,8,10059,1017,1257.375
5174423,211,12,53105,1011,4425.416667
14738770,223,10,41984,1008,4198.4
5174539,560,8,16955,1005,2119.375
4503505,275,8,21395,1002,2674.375
4503155,238,6,2514,1002,419
17457693,232,11,114146,1002,10376.90909
5031857,1093,6,9452,999,1575.333333
5729953,345,8,23350,996,2918.75
16162490,313,0,0,996,0
17487098,250,7,13595,996,1942.142857
18604043,450,6,2267,993,377.8333333
13994151,256,6,52013,990,8668.833333
11433007,434,9,15191,987,1687.888889
4757880,239,6,7943,987,1323.833333
18600279,634,10,8643,981,864.3
5174391,300,7,7198,978,1028.285714
18549192,568,6,17568,975,2928
5803102,456,11,35923,972,3265.727273
17437148,431,0,0,972,0
18573863,230,8,12103,972,1512.875
18591120,401,8,7861,969,982.625
13650572,1962,0,0,966,0
12056465,546,8,10813,966,1351.625
13654587,1642,0,0,963,0
4502107,365,11,27181,963,2471
14720543,275,13,53384,963,4106.461538
14742433,269,13,53309,963,4100.692308
14746727,442,0,0,960,0
14751829,345,3,912,957,304
14731687,230,7,19565,957,2795
4557325,904,2,1676,954,838
4502049,441,9,15400,951,1711.111111
18582519,769,5,20720,945,4144
18577397,348,7,29990,945,4284.285714
14762323,201,6,14192,942,2365.333333
18605111,259,7,1281,939,183
18567094,306,8,1879,936,234.875
14736760,452,8,18505,930,2313.125
4506017,249,6,27181,930,4530.166667
14766044,595,1,1821,927,1821
6005735,482,9,18761,927,2084.555556
18593660,210,11,27514,924,2501.272727
4506027,209,7,7775,924,1110.714286
8051631,312,6,5566,921,927.6666667
5803111,311,8,6863,921,857.875
11421005,278,8,48663,921,6082.875
18605127,239,6,1159,921,193.1666667
14776780,364,6,9772,918,1628.666667
14733321,321,0,0,918,0
4502735,587,6,2293,912,382.1666667
18585371,225,6,1064,912,177.3333333
14736980,224,5,23824,912,4764.8
13639121,206,12,50154,912,4179.5
4507209,237,7,4184,909,597.7142857
18544480,212,1,682,909,682
11439457,207,5,6853,909,1370.6
14722770,633,8,11723,906,1465.375
4759166,643,4,5106,903,1276.5
5031599,546,9,35560,903,3951.111111
18379349,249,5,5687,903,1137.4
15309131,200,9,10151,900,1127.888889
6005854,539,8,3976,899,497
13632616,549,3,1652,897,550.6666667
14749519,313,7,15824,897,2260.571429
14591909,1495,7,8871,894,1267.285714
4885079,592,8,18576,894,2322
14746676,285,8,1608,894,201
18559743,1716,8,9635,891,1204.375
14771644,231,7,26486,891,3783.714286
18562650,219,4,12890,891,3222.5
16162649,791,0,0,888,0
11423880,244,10,25780,888,2578
13637631,419,0,0,882,0
8923598,295,8,4337,873,542.125
12707570,283,7,9607,873,1372.428571
11422028,286,9,54413,861,6045.888889
17481548,258,4,9858,858,2464.5
14725002,203,5,4935,858,987
4507647,424,9,22233,855,2470.333333
17440400,222,6,3902,855,650.3333333
4507649,416,8,6899,854,862.375
16171820,320,7,19404,852,2772
17482186,1483,7,8411,849,1201.571429
13653194,309,5,5220,849,1044
14757780,252,7,19163,849,2737.571429
13650395,242,0,0,843,0
13435356,372,6,2150,840,358.3333333
15305458,384,12,15731,837,1310.916667
14753951,371,5,1370,837,274
14738470,257,8,1257,837,157.125
4506203,386,7,61008,834,8715.428571
4505061,221,5,3763,834,752.6
18574062,408,6,8797,828,1466.166667
18549334,252,0,0,825,0
14778325,246,5,14629,825,2925.8
4505773,440,5,7464,819,1492.8
4826659,332,8,145077,819,18134.625
14771080,207,0,0,819,0
18598118,206,0,0,819,0
4502969,305,3,5398,816,1799.333333
8923114,255,6,10502,816,1750.333333
16178030,864,6,9145,810,1524.166667
14762703,864,6,9144,810,1524
14768212,263,9,105003,810,11667
12728114,707,0,0,807,0
4557321,224,2,780,804,390
11527402,633,5,27073,801,5414.6
5031957,224,5,3781,798,756.2
13643736,223,6,25413,798,4235.5
16165126,617,6,1459,795,243.1666667
5453790,273,2,15130,795,7565
4758788,258,6,145698,795,24283
14733373,202,6,56852,795,9475.333333
4506201,314,2,8005,792,4002.5
18543663,311,6,24490,792,4081.666667
18586465,223,6,2201,792,366.8333333
4506185,541,7,6245,786,892.1428571
14769122,334,0,0,786,0
15309024,334,7,7793,786,1113.285714
16194912,287,5,3740,786,748
5803013,251,2,8405,786,4202.5
14110395,241,4,4201,786,1050.25
18551485,202,7,11481,786,1640.142857
4503363,399,8,22625,783,2828.125
14760201,219,2,3486,783,1743
17443736,308,4,2406,777,601.5
18605156,243,6,1243,777,207.1666667
4506663,1986,4,1560,774,390
18570367,1873,4,1560,774,390
4506233,471,6,7748,774,1291.333333
16156808,848,6,9552,771,1592
18578774,539,1,98,771,98
13637998,512,6,10694,771,1782.333333
17437963,431,5,20278,771,4055.6
17438583,1931,1,89,768,89
18575488,874,3,5458,765,1819.333333
14744529,874,3,5458,765,1819.333333
13651057,870,0,0,765,0
18566847,1691,1,56,762,56
14751251,258,6,23252,762,3875.333333
11096340,237,3,4010,762,1336.666667
18592323,226,0,0,762,0
18565727,492,2,199,759,99.5
14762874,382,6,26367,759,4394.5
18583771,204,6,9816,759,1636
5454088,291,6,31132,756,5188.666667
14766188,312,6,3329,753,554.8333333
14784151,1440,6,2079,750,346.5
13640476,1076,0,0,750,0
5453990,338,10,1824,750,182.4
11421089,386,6,5712,747,952
11559923,352,6,20190,747,3365
14736864,288,6,10100,747,1683.333333
4885487,283,6,2805,747,467.5
13649217,224,0,0,747,0
